,PBI
% Above Low,0.5717
% Held by Institutions,0.7069
52-Wk Range,['2.30 - 7.38']
Annual Dividend $,0.2
Annual Dividend %,0.054900000000000004
Ask,3.62
Ask Size,1800.0
B/A Ratio,0.5
B/A Size,900x1800
Beta,2.3
Bid,3.61
Bid Size,900.0
Day Change $,-0.025
Day Change %,-0.0069
Day High,3.67
Day Low,3.6
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",0.18
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.594
Last (size),10.0
Last (time),10:14a ET 11/28/22
Market Cap,629.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.86
Prev Close,3.64
Price,3.62
Short Interest,0.0644
Today's Open,3.6
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.7384615384615385
Growth 1yr High Est,-0.661764705882353
Growth 1yr Consensus Est,-0.7001131221719458
Growth 2yr Low Est,-0.2809954751131222
Growth 2yr High Est,0.21259590792838867
Growth 2yr Consensus Est,-0.03419978359236675
Growth 5yr Low Est,-0.1404977375565611
Growth 5yr High Est,0.10629795396419434
Growth 5yr Consensus Est,-0.017099891796183375
Growth 5yr Actual/Est,-0.08258222643896268
Growth 3yr Historic,-0.13137254901960782
Price/Earnings (TTM),19.85707
Price/Sales (TTM),0.1753
Price/Book (MRQ),
Price/Cash Flow (TTM),3.18565
5yr Low,1.67
5yr High,15.5
5yr Avg Return,-0.09451666666666667
EPS Growth 5yr,-0.4499952
Revenue Growth 5yr,0.04264300000000001
Dividend Growth 5yr,
Short Int Current Month,10367423.0
Short Int Prev Month,10639122.0
Short Int Pct of Float,0.0643889
Days to Cover,5.51299
Float,161.3021
Shares Outstanding,174.004
Institutions Holding Shares,311.0
FCF Growth 5yr,0.8104682826255799
"Price/Earnings (TTM, GAAP)",19.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2983
Operating Profit Margin (TTM),0.030299999999999997
Net Profit Margin (TTM),0.009000000000000001
Annual Dividend Yield,0.054900000000000004
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2882
EPS Growth (TTM),0.7251000000000001
Revenue Growth (MRQ),-0.0466
Revenue Growth (TTM),-0.028300000000000002
Return On Equity (TTM),1.6062
Return On Assets (TTM),0.0068000000000000005
Return On Investment (TTM),0.010400000000000001
Revenue Per Employee (TTM),314179.0
Total Debt/Total Capital (MRQ),1.0038
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.01
Interest Coverage (MRQ),1.25
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
theStreet since,2022-07-29 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-01 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
