,NWN
% Above Low,0.1704
% Held by Institutions,0.7626999999999999
52-Wk Range,['42.37 - 57.63']
Annual Dividend $,1.94
Annual Dividend %,0.0391
Ask,51.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,44.56
Bid Size,100.0
Change Since Close,0.01| |(0.02%)
Closing Price,49.59
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",2.6
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.267
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,49.6
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.05
Prev Close,49.59
Short Interest,0.0151
Today's Open,
Volume,1.0
Volume 10-day Avg,172163.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.016000000000000014
Growth 1yr High Est,-0.01158301158301156
Growth 1yr Consensus Est,-0.013791505791505787
Growth 2yr Low Est,0.01639024390243904
Growth 2yr High Est,0.03717724420849422
Growth 2yr Consensus Est,0.02678374405546663
Growth 5yr Low Est,0.024152568759730153
Growth 5yr High Est,0.03838028877091376
Growth 5yr Consensus Est,0.03126642876532196
Growth 5yr Actual/Est,0.042866278402515196
Growth 3yr Historic,0.028997546930183193
Price/Earnings (TTM),19.04802
Price/Sales (TTM),1.82032
Price/Book (MRQ),1.55284
Price/Cash Flow (TTM),9.00379
5yr Low,41.71
5yr High,77.26
5yr Avg Return,-0.029716666666666676
EPS Growth 5yr,0.0262723
Revenue Growth 5yr,0.0518705
Dividend Growth 5yr,0.0052843
Short Int Current Month,524515.0
Short Int Prev Month,1233573.0
Short Int Pct of Float,0.0150799
Days to Cover,2.96097
Float,34.80288
Shares Outstanding,35.09916
Institutions Holding Shares,317.0
FCF Growth 5yr,-2.03999557589823
"Price/Earnings (TTM, GAAP)",19.05
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.34149999999999997
Operating Profit Margin (TTM),0.1636
Net Profit Margin (TTM),0.0825
Annual Dividend Yield,0.0391
Dividend Change %,0.005200000000000001
"Dividend Growth Rate, 3 Years",0.0053
EPS Growth (MRQ),-12.2302
EPS Growth (TTM),-0.049800000000000004
Revenue Growth (MRQ),-0.4007
Revenue Growth (TTM),0.1568
Return On Equity (TTM),0.0784
Return On Assets (TTM),0.0192
Return On Investment (TTM),0.0226
Revenue Per Employee (TTM),815166.0
Total Debt/Total Capital (MRQ),0.5688000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),0.75
Interest Coverage (MRQ),-1.14
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-08-17 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
