,NWN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.05,14.24,Valuation,1.3377808988764046
Price/Sales (TTM),1.82,2.38,Valuation,0.7647058823529412
Price/Book (MRQ),1.55,1.74,Valuation,0.8908045977011495
"PEG Ratio (TTM, GAAP)",,0.54,Valuation,
Gross Profit Margin (TTM),0.34149999999999997,0.0276,Profitability,12.3731884057971
Operating Profit Margin (TTM),0.1636,0.2274,Profitability,0.7194371152154794
Net Profit Margin (TTM),0.0825,0.1543,Profitability,0.5346727154893066
Annual Dividend Yield,0.0391,0.0315,Dividend,1.2412698412698413
Dividend Change %,0.005200000000000001,0.0611,Dividend,0.08510638297872342
"Dividend Growth Rate, 3 Years",0.0053,0.046200000000000005,Dividend,0.1147186147186147
EPS Growth (MRQ),-12.2302,3.7687,Gowth rates,-3.2452039164698703
EPS Growth (TTM),-0.049800000000000004,0.26230000000000003,Gowth rates,-0.18985894014487228
Revenue Growth (MRQ),-0.4007,0.2857,Gowth rates,-1.4025201260063003
Revenue Growth (TTM),0.1568,0.2609,Gowth rates,0.600996550402453
Return On Equity (TTM),0.0784,0.1134,Effectiveness,0.691358024691358
Return On Assets (TTM),0.0192,0.0425,Effectiveness,0.45176470588235285
Return On Investment (TTM),0.0226,0.063,Effectiveness,0.35873015873015873
Revenue Per Employee (TTM),815166.0,1275962.0,Effectiveness,0.6388638533122459
Total Debt/Total Capital (MRQ),0.5688000000000001,0.6062,Financial strength,0.9383041900362918
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0001,Financial strength,2.9999999999999996
Quick Ratio (MRQ),0.75,0.57,Financial strength,1.3157894736842106
Interest Coverage (MRQ),-1.14,2.68,Financial strength,-0.42537313432835816
