,NGMS
% Above Low,0.25260000000000005
% Held by Institutions,0.382
52-Wk Range,['10.69 - 37.40']
Annual Dividend $,
Annual Dividend %,
Ask,15.67
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,11.02
Bid Size,100.0
Closing Price,13.39
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.8
Ex-dividend Date,No dividend
Historical Volatility,0.7170000000000001
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,342.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,13.39
Short Interest,0.034
Today's Open,
Volume,56420.0
Volume 10-day Avg,166171.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.5795454545454546
Growth 2yr High Est,-8.5
Growth 2yr Consensus Est,-4.5397727272727275
Growth 5yr Low Est,-0.5795454545454546
Growth 5yr High Est,-8.5
Growth 5yr Consensus Est,-4.5397727272727275
Growth 5yr Actual/Est,-1.0217166914555547
Growth 3yr Historic,0.04938271604938271
Price/Earnings (TTM),
Price/Sales (TTM),3.18459
Price/Book (MRQ),2.56786
Price/Cash Flow (TTM),143.5576
5yr Low,10.69
5yr High,73.54
5yr Avg Return,0.0038666666666667027
Short Int Current Month,432646.0
Short Int Prev Month,491115.0
Short Int Pct of Float,0.033960699999999996
Days to Cover,2.76065
Float,5.14557
Shares Outstanding,25.85966
Institutions Holding Shares,103.0
FCF Growth 5yr,1.3261948682084503
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.2438
Net Profit Margin (TTM),-0.22899999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7354999999999999
EPS Growth (TTM),-2.8864
Revenue Growth (MRQ),1.9534
Revenue Growth (TTM),1.0823
Return On Equity (TTM),-0.2223
Return On Assets (TTM),-0.0867
Return On Investment (TTM),-0.1142
Revenue Per Employee (TTM),696987.0
Total Debt/Total Capital (MRQ),0.6023
Change in Debt/Total Capital Quarter over Quarter,0.0023
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
cfra,
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
marketEdge opinion,
theStreet since,2022-11-22 00:00:00
cfra since,
researchTeam since,
newConstructs since,
ford since,
marketEdge opinion since,
