,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q3 2019,Q4 2019,Q3 2020,Q4 2020
high,38.39,73.54,30.77,,,,,,,,,
low,18.67,24.53,10.69,,,,,,,,,
change,0.7962,-0.26489999999999997,-0.5197,,,,,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet,,,,
Cash & Equivalents,,,,66.0,41.0,130.0,60.0,Balance Sheet,,,,
Short Term Investments,,,,,,0.0,0.0,Balance Sheet,,,,
Cash and Short Term Invs,,,,66.0,41.0,130.0,61.0,Balance Sheet,,,,
"Trade Accts Recvble, Net",,,,4.0,6.0,39.0,33.0,Balance Sheet,,,,
Other Receivables,,,,5.0,4.0,15.0,9.0,Balance Sheet,,,,
"Total Receivables, Net",,,,9.0,10.0,54.0,41.0,Balance Sheet,,,,
Prepaid Expenses,,,,2.0,3.0,6.0,4.0,Balance Sheet,,,,
"Other Curr. Assets, Total",,,,0.0,0.0,0.0,0.0,Balance Sheet,,,,
Total Current Assets,,,,78.0,54.0,190.0,107.0,Balance Sheet,,,,
Prop./Plant/Equip. - Net,,,,10.0,11.0,13.0,12.0,Balance Sheet,,,,
Intangibles - Net,,,,22.0,24.0,348.0,331.0,Balance Sheet,,,,
Long Term Investments,,,,,,4.0,4.0,Balance Sheet,,,,
Def. Inc. Tax - LT Asset,,,,2.0,2.0,2.0,2.0,Balance Sheet,,,,
Restricted Cash - LT,,,,4.0,4.0,4.0,4.0,Balance Sheet,,,,
Other Long Term Assets,,,,,,2.0,1.0,Balance Sheet,,,,
Total Assets,,,,116.0,95.0,564.0,460.0,Balance Sheet,,,,
Payable/Accrued,,,,8.0,9.0,46.0,33.0,Balance Sheet,,,,
Accrued Expenses,,,,4.0,4.0,7.0,7.0,Balance Sheet,,,,
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet,,,,
Curr. Port. LT Dbt/Cap Ls.,,,,22.0,1.0,2.0,1.0,Balance Sheet,,,,
Income Taxes Payable,,,,,,10.0,10.0,Balance Sheet,,,,
Other Payables,,,,0.0,0.0,0.0,,Balance Sheet,,,,
Other Current Liabilities,,,,,,129.0,55.0,Balance Sheet,,,,
