,JXN
% Below High,0.2077
% Held by Institutions,0.9116
52-Wk Range,['23.56 - 47.76']
Annual Dividend $,2.2
Annual Dividend %,0.0581
Ask,43.52
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,11.55
Bid Size,100.0
Closing Price,37.84
Day Change $,0.1
Day Change %,0.0026
Day High,38.12
Day Low,37.52
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",78.09
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.5770000000000001
Last (size),36.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
"P/E Ratio (TTM, GAAP)",0.48
Prev Close,37.74
Short Interest,0.0571
Today's Open,37.67
Volume,170686.0
Volume 10-day Avg,1008125.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.09543568464730279
Growth 2yr High Est,0.23296560674886435
Growth 2yr Consensus Est,0.16420064569808357
Growth 5yr Low Est,0.09543568464730279
Growth 5yr High Est,0.23296560674886435
Growth 5yr Consensus Est,0.16420064569808357
Growth 5yr Actual/Est,-0.11910469541211233
Growth 3yr Historic,0.0
Price/Earnings (TTM),0.48458
Price/Sales (TTM),0.19232
Price/Book (MRQ),0.30722
Price/Cash Flow (TTM),0.44137
5yr Low,22.29
5yr High,47.76
5yr Avg Return,0.2844
EPS Growth 5yr,0.318763
Revenue Growth 5yr,0.1208563
Dividend Growth 5yr,
Short Int Current Month,4173506.0
Short Int Prev Month,5049044.0
Short Int Pct of Float,0.0570977
Days to Cover,3.04435
Float,72.96368
Shares Outstanding,83.03697
Institutions Holding Shares,340.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",0.48
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5372
Net Profit Margin (TTM),0.43570000000000003
Annual Dividend Yield,0.0581
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.48310000000000003
EPS Growth (TTM),1.7594999999999998
Revenue Growth (MRQ),-0.38549999999999995
Revenue Growth (TTM),1.0814000000000001
Return On Equity (TTM),0.7271
Return On Assets (TTM),0.0213
Return On Investment (TTM),
Revenue Per Employee (TTM),5834965.0
Total Debt/Total Capital (MRQ),0.21350000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),
Interest Coverage (MRQ),83.48
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-11-10 00:00:00
researchTeam since,2022-11-10 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
