,MLCO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,103.69,Valuation,
Price/Sales (TTM),1.96,5.63,Valuation,0.3481349911190053
Price/Book (MRQ),,8.51,Valuation,
"PEG Ratio (TTM, GAAP)",,0.48,Valuation,
Gross Profit Margin (TTM),0.2457,0.4058,Profitability,0.6054706752094628
Operating Profit Margin (TTM),-0.4339,0.1648,Profitability,-2.632888349514563
Net Profit Margin (TTM),-0.6648999999999999,0.0801,Profitability,-8.300873907615479
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.0563,Dividend,
"Dividend Growth Rate, 3 Years",,0.0311,Dividend,
EPS Growth (MRQ),0.006,0.3321,Gowth rates,0.018066847335140017
EPS Growth (TTM),0.0,2.1422,Gowth rates,0.0
Revenue Growth (MRQ),-0.1833,0.38689999999999997,Gowth rates,-0.47376583096407343
Revenue Growth (TTM),-0.2749,0.7726000000000001,Gowth rates,-0.3558115454310121
Return On Equity (TTM),,0.1915,Effectiveness,
Return On Assets (TTM),-0.1133,0.0764,Effectiveness,-1.4829842931937174
Return On Investment (TTM),-0.1369,0.1012,Effectiveness,-1.3527667984189724
Revenue Per Employee (TTM),83538.0,286353.0,Effectiveness,0.2917308357167552
Total Debt/Total Capital (MRQ),1.013,1.1601000000000001,Financial strength,0.8732005861563656
Change in Debt/Total Capital Quarter over Quarter,0.002,0.002,Financial strength,1.0
Quick Ratio (MRQ),2.31,0.8,Financial strength,2.8874999999999997
Interest Coverage (MRQ),-2.32,40.35,Financial strength,-0.05749690210656753
