,MLCO
% Above Low,0.6232
% Held by Institutions,0.4253
52-Wk Range,['4.06 - 11.81']
Annual Dividend $,
Annual Dividend %,
Ask,7.03
Ask Size,100.0
Ask close,8.19
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,7.0
Bid Size,100.0
Bid close,5.13
Change Since Close,0.44| |(6.68%)
Closing Price,6.59
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.78
Ex-dividend Date,No dividend
Historical Volatility,0.865
Last (size),119.0
Last (time),1:00p ET 11/25/22
Last Trade,7.03
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,6.59
Short Interest,0.0285
Today's Open,
Volume,59147.0
Volume 10-day Avg,4080024.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.056872037914692086
Growth 1yr High Est,-0.4887218045112782
Growth 1yr Consensus Est,-0.21592488329829307
Growth 2yr Low Est,-0.2742545640022952
Growth 2yr High Est,-1.031125608137992
Growth 2yr Consensus Est,-0.6526900860701437
Growth 5yr Low Est,-0.2742545640022952
Growth 5yr High Est,-1.031125608137992
Growth 5yr Consensus Est,-0.6526900860701437
Growth 5yr Actual/Est,-1.395113366814401
Growth 3yr Historic,-1.1889816158684083
Price/Earnings (TTM),
Price/Sales (TTM),1.96394
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,4.06
5yr High,32.95
5yr Avg Return,-0.15848333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.149401
Dividend Growth 5yr,
Short Int Current Month,12993536.0
Short Int Prev Month,12857527.0
Short Int Pct of Float,0.0285371
Days to Cover,2.57699
Float,440.6379
Shares Outstanding,445.0888
Institutions Holding Shares,243.0
FCF Growth 5yr,-1.1078376863261725
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2457
Operating Profit Margin (TTM),-0.4339
Net Profit Margin (TTM),-0.6648999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.006
EPS Growth (TTM),0.0
Revenue Growth (MRQ),-0.1833
Revenue Growth (TTM),-0.2749
Return On Equity (TTM),
Return On Assets (TTM),-0.1133
Return On Investment (TTM),-0.1369
Revenue Per Employee (TTM),83538.0
Total Debt/Total Capital (MRQ),1.013
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),2.31
Interest Coverage (MRQ),-2.32
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
marketEdge opinion,
marketEdge,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-05-10 00:00:00
theStreet since,2021-05-25 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
marketEdge since,
