,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q4 2012,Q2 2013,Q4 2013,Q4 2014
high,29.6,32.95,26.97,25.22,23.65,11.81,,,,,,,,,
low,24.93,15.33,16.95,10.81,8.87,4.06,,,,,,,,,
change,0.1067,-0.3747,0.3995,-0.2595,-0.4547,-0.3682,,,,,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet,,,,
Cash and Short Term Invs,,,,,,,1653.0,1899.0,1646.0,1522.0,Balance Sheet,,,,
"Trade Accts Recvble, Net",,,,,,,54.0,54.0,50.0,50.0,Balance Sheet,,,,
Other Receivables,,,,,,,0.0,0.0,206.0,211.0,Balance Sheet,,,,
"Total Receivables, Net",,,,,,,55.0,55.0,255.0,261.0,Balance Sheet,,,,
Total Inventory,,,,,,,30.0,29.0,28.0,27.0,Balance Sheet,,,,
Prepaid Expenses,,,,,,,109.0,114.0,95.0,112.0,Balance Sheet,,,,
Restricted Cash - Current,,,,,,,0.0,0.0,0.0,51.0,Balance Sheet,,,,
Discont. Ops.-Curr. Assets,,,,,,,22.0,27.0,26.0,12.0,Balance Sheet,,,,
"Other Curr. Assets, Total",,,,,,,22.0,27.0,26.0,63.0,Balance Sheet,,,,
Total Current Assets,,,,,,,1869.0,2124.0,2051.0,1986.0,Balance Sheet,,,,
Prop./Plant/Equip. - Net,,,,,,,5979.0,5978.0,5956.0,5895.0,Balance Sheet,,,,
"Goodwill, Net",,,,,,,82.0,81.0,81.0,81.0,Balance Sheet,,,,
Intangibles - Net,,,,,,,773.0,748.0,731.0,722.0,Balance Sheet,,,,
Deferred Charges,,,,,,,177.0,172.0,179.0,148.0,Balance Sheet,,,,
Def. Inc. Tax - LT Asset,,,,,,,4.0,3.0,2.0,1.0,Balance Sheet,,,,
Restricted Cash - LT,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,,,,
Total Assets,,,,,,,8884.0,9106.0,9002.0,8832.0,Balance Sheet,,,,
Accounts Payable,,,,,,,6.0,7.0,6.0,6.0,Balance Sheet,,,,
Accrued Expenses,,,,,,,952.0,797.0,804.0,793.0,Balance Sheet,,,,
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,,,,
Curr. Port. LT Dbt/Cap Ls.,,,,,,,49.0,53.0,45.0,36.0,Balance Sheet,,,,
Income Taxes Payable,,,,,,,12.0,10.0,10.0,11.0,Balance Sheet,,,,
Other Payables,,,,,,,2.0,2.0,2.0,1.0,Balance Sheet,,,,
Discontinued Operations,,,,,,,1.0,2.0,1.0,1.0,Balance Sheet,,,,
"Other Curr. Lblts, Total",,,,,,,15.0,13.0,13.0,14.0,Balance Sheet,,,,
Total Current Liabilities,,,,,,,1022.0,870.0,868.0,848.0,Balance Sheet,,,,
Long Term Debt,,,,,,,6560.0,7074.0,7326.0,7728.0,Balance Sheet,,,,
Capital Lease Obligations,,,,,,,348.0,334.0,311.0,229.0,Balance Sheet,,,,
Total Long Term Debt,,,,,,,6907.0,7408.0,7636.0,7957.0,Balance Sheet,,,,
Total Debt,,,,,,,6956.0,7461.0,7681.0,7992.0,Balance Sheet,,,,
Deferred Income Tax,,,,,,,41.0,41.0,41.0,40.0,Balance Sheet,,,,
Minority Interest,,,,,,,575.0,662.0,612.0,566.0,Balance Sheet,,,,
"Other Liabilities, Total",,,,,,,93.0,101.0,95.0,90.0,Balance Sheet,,,,
Total Liabilities,,,,,,,8639.0,9082.0,9251.0,9500.0,Balance Sheet,,,,
Common Stock,,,,,,,15.0,15.0,15.0,14.0,Balance Sheet,,,,
Additional Paid-In Capital,,,,,,,3239.0,3232.0,3232.0,3211.0,Balance Sheet,,,,
Ret. Earn.(Accum. Deficit),,,,,,,-2800.0,-2983.0,-3234.0,-3478.0,Balance Sheet,,,,
Treasury Stock - Common,,,,,,,-133.0,-137.0,-117.0,-242.0,Balance Sheet,,,,
"Other Equity, Total",,,,,,,-76.0,-102.0,-145.0,-174.0,Balance Sheet,,,,
Total Equity,,,,,,,245.0,24.0,-249.0,-668.0,Balance Sheet,,,,
Total Liabilities & Shareholders’ Equity,,,,,,,8884.0,9106.0,9002.0,8832.0,Balance Sheet,,,,
Ttl Comm. Shares Outs.,,,,,,,1423.0,1417.0,1419.0,1335.0,Balance Sheet,,,,
Trsy. Shrs-Comm. Primary Iss.,,,,,,,33.0,39.0,37.0,110.0,Balance Sheet,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement,,,,
Total Revenue,,,,,,,480608.0,474945.0,296107.0,241837.0,Income Statement,,,,
"Cost of Revenue, Total",,,,,,,328018.0,350156.0,241327.0,207092.0,Income Statement,,,,
"Sell/Gen/AdminExpenses,Tot",,,,,,,108027.0,112179.0,115986.0,102828.0,Income Statement,,,,
Research & Development,,,,,,,-1302.0,0.0,0.0,0.0,Income Statement,,,,
Depreciation,,,,,,,124147.0,121356.0,118237.0,113549.0,Income Statement,,,,
