,CFR
% Below High,0.0788
% Held by Institutions,0.8564
52-Wk Range,['112.67 - 160.60']
Annual Dividend $,3.48
Annual Dividend %,0.0235
Ask,148.54
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.1
Bid,140.5
Bid Size,100.0
Closing Price,147.95
Day Change $,1.89
Day Change %,0.0129
Day High,147.95
Day Low,146.23
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",7.42
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.302
Last (size),768.0
Last (time),5:00p ET 11/25/22
Market Cap,9.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.94
Prev Close,146.06
Short Interest,0.023
Today's Open,146.57
Volume,145685.0
Volume 10-day Avg,342127.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.2999999999999998
Growth 1yr High Est,0.3050595238095237
Growth 1yr Consensus Est,0.3025297619047618
Growth 2yr Low Est,0.20088757396449708
Growth 2yr High Est,0.34124127843839935
Growth 2yr Consensus Est,0.2710644262014482
Growth 5yr Low Est,0.11433014163358815
Growth 5yr High Est,0.17932637593171105
Growth 5yr Consensus Est,0.1468282587826496
Growth 5yr Actual/Est,0.15386774646840065
Growth 3yr Historic,0.017776057791537653
Price/Earnings (TTM),19.94379
Price/Sales (TTM),6.17035
Price/Book (MRQ),3.56206
Price/Cash Flow (TTM),17.21152
5yr Low,47.69
5yr High,160.6
5yr Avg Return,0.0883
EPS Growth 5yr,0.07541400000000001
Revenue Growth 5yr,0.050528199999999995
Dividend Growth 5yr,0.0645885
Short Int Current Month,1334928.0
Short Int Prev Month,1853674.0
Short Int Pct of Float,0.0230035
Days to Cover,3.65931
Float,58.0536
Shares Outstanding,64.29872
Institutions Holding Shares,524.0
FCF Growth 5yr,0.06535205836138684
"Price/Earnings (TTM, GAAP)",19.94
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3633
Net Profit Margin (TTM),0.3172
Annual Dividend Yield,0.0235
Dividend Change %,0.0316
"Dividend Growth Rate, 3 Years",0.044500000000000005
EPS Growth (MRQ),0.4316
EPS Growth (TTM),0.1267
Revenue Growth (MRQ),0.3318
Revenue Growth (TTM),0.20510000000000003
Return On Equity (TTM),0.1387
Return On Assets (TTM),0.0097
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-10-27 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-11-19 00:00:00
