,ADP
% Below High,0.0037
% Held by Institutions,0.7693000000000001
52-Wk Range,['192.26 - 264.94']
Annual Dividend $,5.0
Annual Dividend %,0.0189
Ask,264.65
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,263.15
Bid Size,100.0
Closing Price,263.95
Day Change $,1.37
Day Change %,0.0052
Day High,264.94
Day Low,261.96
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",7.22
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.281
Last (size),48.0
Last (time),1:00p ET 11/25/22
Market Cap,109.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.56
Prev Close,262.58
Short Interest,0.015700000000000002
Today's Open,263.6
Volume,594686.0
Volume 10-day Avg,1520014.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.1445086705202312
Growth 1yr High Est,0.16903409090909105
Growth 1yr Consensus Est,0.15677138071466112
Growth 2yr Low Est,0.09308766859344897
Growth 2yr High Est,0.14648545371699995
Growth 2yr Consensus Est,0.11978656115522446
Growth 5yr Low Est,0.09928428628351876
Growth 5yr High Est,0.12254875643756707
Growth 5yr Consensus Est,0.11091652136054292
Growth 5yr Actual/Est,0.11263159466768963
Growth 3yr Historic,0.045335929783604234
Price/Earnings (TTM),36.56481
Price/Sales (TTM),6.48595
Price/Book (MRQ),42.52499
Price/Cash Flow (TTM),30.85636
5yr Low,103.11
5yr High,264.0
5yr Avg Return,0.16945
EPS Growth 5yr,0.12018980000000001
Revenue Growth 5yr,0.059253400000000005
Dividend Growth 5yr,0.1236077
Short Int Current Month,6504822.0
Short Int Prev Month,5791182.0
Short Int Pct of Float,0.0157067
Days to Cover,3.87217
Float,414.3582
Shares Outstanding,414.8278
Institutions Holding Shares,2434.0
FCF Growth 5yr,0.1721992108504513
"Price/Earnings (TTM, GAAP)",36.56
"PEG Ratio (TTM, GAAP)",2.44
Gross Profit Margin (TTM),0.43100000000000005
Operating Profit Margin (TTM),0.23170000000000002
Net Profit Margin (TTM),0.1793
Annual Dividend Yield,0.0189
Dividend Change %,0.0707
"Dividend Growth Rate, 3 Years",0.1
EPS Growth (MRQ),0.24989999999999998
EPS Growth (TTM),0.1418
Revenue Growth (MRQ),0.0213
Revenue Growth (TTM),0.0986
Return On Equity (TTM),0.7637999999999999
Return On Assets (TTM),0.056900000000000006
Return On Investment (TTM),0.3457
Revenue Per Employee (TTM),281362.0
Total Debt/Total Capital (MRQ),0.5371
Change in Debt/Total Capital Quarter over Quarter,0.0029
Quick Ratio (MRQ),
Interest Coverage (MRQ),44.63
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-03-01 00:00:00
cfra since,2017-08-08 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2009-01-22 00:00:00
