,ICE
% Above Low,0.209
% Held by Institutions,0.8833
52-Wk Range,['88.60 - 138.46']
Annual Dividend $,1.52
Annual Dividend %,0.014199999999999999
Ask,117.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,97.0
Bid Size,100.0
Closing Price,107.12
Day Change $,0.18
Day Change %,0.0017000000000000001
Day High,107.46
Day Low,106.32
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.52
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.28
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,59.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.72
Prev Close,106.94
Short Interest,0.0072
Today's Open,106.41
Volume,817734.0
Volume 10-day Avg,2069318.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.03952569169960474
Growth 1yr High Est,0.05415860735009681
Growth 1yr Consensus Est,0.046842149524850774
Growth 2yr Low Est,0.022614556876418335
Growth 2yr High Est,0.066528844959452
Growth 2yr Consensus Est,0.044571700917935164
Growth 5yr Low Est,0.0845215641524949
Growth 5yr High Est,0.10507896622223584
Growth 5yr Consensus Est,0.09480026518736537
Growth 5yr Actual/Est,0.1011988005204435
Growth 3yr Historic,0.07606950190870232
Price/Earnings (TTM),23.71843
Price/Sales (TTM),6.24096
Price/Book (MRQ),2.67573
Price/Cash Flow (TTM),16.59696
5yr Low,63.51
5yr High,139.79
5yr Avg Return,0.08773333333333336
EPS Growth 5yr,0.24643879999999999
Revenue Growth 5yr,0.0895458
Dividend Growth 5yr,0.2094857
Short Int Current Month,3978069.0
Short Int Prev Month,3962273.0
Short Int Pct of Float,0.0072232
Days to Cover,1.28962
Float,550.8234
Shares Outstanding,558.5516
Institutions Holding Shares,1625.0
FCF Growth 5yr,0.32624135117987246
"Price/Earnings (TTM, GAAP)",23.72
"PEG Ratio (TTM, GAAP)",3.13
Gross Profit Margin (TTM),0.7681
Operating Profit Margin (TTM),0.5282
Net Profit Margin (TTM),0.2698
Annual Dividend Yield,0.014199999999999999
Dividend Change %,0.1
"Dividend Growth Rate, 3 Years",0.044000000000000004
EPS Growth (MRQ),-1.3454
EPS Growth (TTM),-0.16519999999999999
Revenue Growth (MRQ),-0.0108
Revenue Growth (TTM),0.0567
Return On Equity (TTM),0.11599999999999999
Return On Assets (TTM),0.0143
Return On Investment (TTM),0.062000000000000006
Revenue Per Employee (TTM),1082299.0
Total Debt/Total Capital (MRQ),0.44700000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.78
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-10-20 00:00:00
researchTeam since,2022-10-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-02-03 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
