,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,429.54,258.81,,,,,
low,208.0,40.61,,,,,
change,-0.3376,-0.8272,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,7123.0,6116.0,5682.0,5007.0,Balance Sheet
"Trade Accts Recvble, Gross",,,421.0,366.0,261.0,257.0,Balance Sheet
Prov. for Doubtful Accts,,,-25.0,-20.0,-16.0,-17.0,Balance Sheet
"Trade Accts Recvble, Net",,,396.0,346.0,246.0,240.0,Balance Sheet
Other Receivables,,,10587.0,10080.0,7244.0,6652.0,Balance Sheet
"Total Receivables, Net",,,10983.0,10426.0,7489.0,6892.0,Balance Sheet
Prepaid Expenses,,,123.0,181.0,130.0,91.0,Balance Sheet
Restricted Cash - Current,,,31.0,27.0,29.0,23.0,Balance Sheet
Other Current Assets,,,113.0,190.0,88832.0,95667.0,Balance Sheet
"Other Curr. Assets, Total",,,144.0,217.0,88861.0,95690.0,Balance Sheet
Total Current Assets,,,18374.0,16941.0,102162.0,107680.0,Balance Sheet
Buildings,,,43.0,,,,Balance Sheet
Machinery/Equipment,,,51.0,,,,Balance Sheet
Construction in Progress,,,1.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,106.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,200.0,,,,Balance Sheet
Accumulated Depreciation,,,-42.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,158.0,157.0,228.0,247.0,Balance Sheet
"Goodwill, Net",,,626.0,1080.0,1074.0,1074.0,Balance Sheet
Intangibles - Gross,,,90.0,257.0,253.0,314.0,Balance Sheet
Accum. Intangible Amort.,,,-30.0,-82.0,-98.0,-152.0,Balance Sheet
Intangibles - Net,,,177.0,219.0,190.0,162.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,1.0,1.0,,,Balance Sheet
LT Investments - Other,,,364.0,400.0,351.0,357.0,Balance Sheet
Long Term Investments,,,365.0,401.0,351.0,357.0,Balance Sheet
Other Long Term Assets,,,1002.0,1346.0,554.0,634.0,Balance Sheet
Total Assets,,,21274.0,20895.0,105468.0,111168.0,Balance Sheet
Accounts Payable,,,40.0,13.0,41.0,62.0,Balance Sheet
Accrued Expenses,,,374.0,440.0,399.0,258.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,149.0,1.0,1.0,Balance Sheet
Income Taxes Payable,,,5.0,4.0,10.0,8.0,Balance Sheet
Other Payables,,,10573.0,9831.0,7154.0,6421.0,Balance Sheet
Other Current Liabilities,,,427.0,486.0,88590.0,95323.0,Balance Sheet
"Other Curr. Lblts, Total",,,11005.0,10320.0,95754.0,101753.0,Balance Sheet
Total Current Liabilities,,,11419.0,10922.0,96194.0,102073.0,Balance Sheet
Total Long Term Debt,,,3385.0,3387.0,3389.0,3391.0,Balance Sheet
Total Debt,,,3385.0,3536.0,3390.0,3392.0,Balance Sheet
"Other Liabilities, Total",,,89.0,90.0,72.0,78.0,Balance Sheet
Total Liabilities,,,14893.0,14399.0,99655.0,105542.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,2035.0,2579.0,3004.0,3380.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,4350.0,3921.0,2827.0,2282.0,Balance Sheet
"Other Equity, Total",,,-3.0,-4.0,-18.0,-36.0,Balance Sheet
Total Equity,,,6382.0,6496.0,5813.0,5626.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,21274.0,20895.0,105468.0,111168.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,169.0,173.0,176.0,178.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,48.0,48.0,48.0,48.0,Balance Sheet
Ttl Comm. Shares Outs.,,,217.0,221.0,224.0,227.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,2498.0,1166.0,808.0,590.0,Income Statement
"Cost of Revenue, Total",,,501.0,278.0,167.0,102.0,Income Statement
Selling/Gen/Admin Expense,,,738.0,832.0,829.0,580.0,Income Statement
Labor & Related Expense,,,263.0,352.0,391.0,391.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,1001.0,1184.0,1220.0,971.0,Income Statement
Restructuring Charge,,,0.0,,42.0,-1.0,Income Statement
Impair-Assets Held for Use,,,,211.0,384.0,1.0,Income Statement
Other Unusual Expnse (In),,,1.0,,,,Income Statement
Unusual Expense (Income),,,1.0,211.0,426.0,0.0,Income Statement
"Other Operat Expse, Total",,,73.0,48.0,39.0,74.0,Income Statement
Total Operating Expense,,,1576.0,1721.0,1853.0,1147.0,Income Statement
Total Operating Income,,,922.0,-554.0,-1044.0,-556.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-22.0,-24.0,-22.0,Income Statement
