,COIN
% Above Low,0.0904
% Held by Institutions,0.565
52-Wk Range,['40.61 - 331.70']
Annual Dividend $,
Annual Dividend %,
Ask,44.25
Ask Size,3200.0
B/A Ratio,0.71875
B/A Size,2300x3200
Beta,
Bid,44.24
Bid Size,2300.0
Closing Price,44.28
Day Change $,-1.29
Day Change %,-0.028300000000000002
Day High,45.24
Day Low,43.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.6
Ex-dividend Date,No dividend
Historical Volatility,1.081
Last (size),159.0
Last (time),1:00p ET 11/25/22
Market Cap,10.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,45.57
Short Interest,0.1791
Today's Open,44.76
Volume,6451508.0
Volume 10-day Avg,19894099.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.28660924040720437
Growth 2yr High Est,-0.48817966903073295
Growth 2yr Consensus Est,-0.38739445471896866
Growth 5yr Low Est,-0.28660924040720437
Growth 5yr High Est,-0.48817966903073295
Growth 5yr Consensus Est,-0.38739445471896866
Growth 5yr Actual/Est,-1.1471514501816449
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.98478
Price/Book (MRQ),1.78342
Price/Cash Flow (TTM),
5yr Low,40.61
5yr High,429.54
5yr Avg Return,-0.5823999999999999
Short Int Current Month,31437102.0
Short Int Prev Month,26345797.0
Short Int Pct of Float,0.1790965
Days to Cover,1.31193
Float,175.6229
Shares Outstanding,226.9656
Institutions Holding Shares,834.0
FCF Growth 5yr,0.32420080451569655
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.793
Operating Profit Margin (TTM),-0.24350000000000002
Net Profit Margin (TTM),-0.2425
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5085000000000001
EPS Growth (TTM),-1.5724
Revenue Growth (MRQ),-0.2697
Revenue Growth (TTM),-0.14550000000000002
Return On Equity (TTM),-0.20379999999999998
Return On Assets (TTM),-0.0189
Return On Investment (TTM),-0.1369
Revenue Per Employee (TTM),1357524.0
Total Debt/Total Capital (MRQ),0.3761
Change in Debt/Total Capital Quarter over Quarter,-0.0083
Quick Ratio (MRQ),
Interest Coverage (MRQ),-25.88
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-05-19 00:00:00
cfra since,2022-08-10 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-05-19 00:00:00
marketEdge opinion since,
