,EVA
Price/Earnings (TTM),
Price/Sales (TTM),3.52782
Price/Book (MRQ),9.3133
Price/Cash Flow (TTM),
5yr Low,20.63
5yr High,91.06
5yr Avg Return,0.16325
EPS Growth 5yr,
Revenue Growth 5yr,0.1754156
Dividend Growth 5yr,0.09460879999999999
Short Int Current Month,6124039.0
Short Int Prev Month,5788313.0
Short Int Pct of Float,0.1713842
Days to Cover,12.48336
Float,36.03663
Shares Outstanding,66.80443
Institutions Holding Shares,215.0
% Held by Institutions,0.831404
FCF Growth 5yr,0.11354785543215411
