,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,23.9,17.7,11.5,17.78,20.05,,,,,
low,12.32,7.89,2.17,8.5,9.74,,,,,
change,-0.38920000000000005,-0.11750000000000001,-0.0795,-0.0753,0.6786,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,20.0,33.0,41.0,24.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,299.0,361.0,401.0,482.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,407.0,503.0,564.0,681.0,Balance Sheet
Other Receivables,,,,,,,11.0,,10.0,Balance Sheet
"Total Receivables, Net",,,,,,407.0,515.0,564.0,691.0,Balance Sheet
Total Inventory,,,,,,135.0,140.0,164.0,186.0,Balance Sheet
Prepaid Expenses,,,,,,68.0,74.0,72.0,95.0,Balance Sheet
Total Current Assets,,,,,,630.0,762.0,841.0,996.0,Balance Sheet
Buildings,,,,,,149.0,141.0,141.0,134.0,Balance Sheet
Land/Improvements,,,,,,34.0,30.0,30.0,29.0,Balance Sheet
Machinery/Equipment,,,,,,1705.0,1777.0,1859.0,1970.0,Balance Sheet
Construction in Progress,,,,,,90.0,117.0,152.0,150.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,213.0,212.0,219.0,221.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,2191.0,2277.0,2401.0,2503.0,Balance Sheet
Accumulated Depreciation,,,,,,-863.0,-932.0,-1000.0,-1073.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,1327.0,1346.0,1401.0,1430.0,Balance Sheet
Other Long Term Assets,,,,,,82.0,83.0,93.0,99.0,Balance Sheet
Total Assets,,,,,,2041.0,2191.0,2335.0,2525.0,Balance Sheet
Payable/Accrued,,,,,,289.0,334.0,311.0,378.0,Balance Sheet
Accrued Expenses,,,,,,266.0,278.0,300.0,316.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,10.0,10.0,9.0,10.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,5.0,2.0,2.0,1.0,Balance Sheet
