,VOYA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.96,151.34,Valuation,0.0724197171930752
Price/Sales (TTM),1.04,2.55,Valuation,0.407843137254902
Price/Book (MRQ),1.55,1.54,Valuation,1.0064935064935066
"PEG Ratio (TTM, GAAP)",20.1,1.58,Valuation,12.721518987341772
Gross Profit Margin (TTM),,0.2013,Profitability,
Operating Profit Margin (TTM),0.1399,0.060700000000000004,Profitability,2.3047775947281712
Net Profit Margin (TTM),0.1315,-0.032799999999999996,Profitability,-4.009146341463415
Annual Dividend Yield,0.0123,0.0028000000000000004,Dividend,4.392857142857142
Dividend Change %,0.1583,0.010700000000000001,Dividend,14.794392523364484
"Dividend Growth Rate, 3 Years",1.59,0.0294,Dividend,54.08163265306123
EPS Growth (MRQ),2.1403,-1.2292,Gowth rates,-1.7412137975919295
EPS Growth (TTM),-0.6152000000000001,-0.9551999999999999,Gowth rates,0.6440536013400336
Revenue Growth (MRQ),-0.1124,0.17329999999999998,Gowth rates,-0.6485862665897288
Revenue Growth (TTM),0.2681,0.11019999999999999,Gowth rates,2.4328493647912888
Return On Equity (TTM),0.1093,-0.4495,Effectiveness,-0.24315906562847606
Return On Assets (TTM),0.0051,-0.0294,Effectiveness,-0.17346938775510207
Return On Investment (TTM),,-0.0021,Effectiveness,
Revenue Per Employee (TTM),1011500.0,975620.0,Effectiveness,1.0367766138455545
Total Debt/Total Capital (MRQ),0.27690000000000003,0.2434,Financial strength,1.137633525061627
Change in Debt/Total Capital Quarter over Quarter,-0.0012,-0.0001,Financial strength,11.999999999999998
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),3.86,-0.26,Financial strength,-14.846153846153845
