,VOYA
% Above Low,0.1306
% Held by Institutions,1.1467
52-Wk Range,['56.20 - 74.97']
Annual Dividend $,0.8
Annual Dividend %,0.0123
Ask,67.52
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.2
Bid,61.8
Bid Size,100.0
Closing Price,63.54
Day Change $,-1.59
Day Change %,-0.024399999999999998
Day High,65.06
Day Low,63.54
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",5.94
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.321
Last (size),118400.0
Last (time),7:00p ET 11/28/22
Market Cap,6.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.96
Prev Close,65.13
Short Interest,0.20170000000000002
Today's Open,64.31
Volume,1541511.0
Volume 10-day Avg,1265697.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.2551282051282051
Growth 1yr High Est,-0.1637831603229527
Growth 1yr Consensus Est,-0.2094556827255789
Growth 2yr Low Est,0.014432455095105712
Growth 2yr High Est,0.0022463508730063975
Growth 2yr Consensus Est,0.008339402984056055
Growth 5yr Low Est,0.014432455095105712
Growth 5yr High Est,0.0022463508730063975
Growth 5yr Consensus Est,0.008339402984056055
Growth 5yr Actual/Est,0.367953693376738
Growth 3yr Historic,0.37984472049689433
Price/Earnings (TTM),10.95635
Price/Sales (TTM),1.04282
Price/Book (MRQ),1.54617
Price/Cash Flow (TTM),
5yr Low,29.75
5yr High,74.97
5yr Avg Return,0.08855000000000002
EPS Growth 5yr,2.192619
Revenue Growth 5yr,-0.1366325
Dividend Growth 5yr,0.7700476999999999
Short Int Current Month,19415466.0
Short Int Prev Month,19113433.0
Short Int Pct of Float,0.2016996
Days to Cover,12.07535
Float,96.2756
Shares Outstanding,97.17287
Institutions Holding Shares,540.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",10.96
"PEG Ratio (TTM, GAAP)",20.1
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1399
Net Profit Margin (TTM),0.1315
Annual Dividend Yield,0.0123
Dividend Change %,0.1583
"Dividend Growth Rate, 3 Years",1.59
EPS Growth (MRQ),2.1403
EPS Growth (TTM),-0.6152000000000001
Revenue Growth (MRQ),-0.1124
Revenue Growth (TTM),0.2681
Return On Equity (TTM),0.1093
Return On Assets (TTM),0.0051
Return On Investment (TTM),
Revenue Per Employee (TTM),1011500.0
Total Debt/Total Capital (MRQ),0.27690000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.86
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-10-25 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
