,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,35.68,35.75,,,,,
low,14.61,11.56,,,,,
change,0.35490000000000005,0.4964,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,11226.0,8259.0,22772.0,7293.0,Balance Sheet
Short Term Investments,,,206184.0,197564.0,167238.0,171121.0,Balance Sheet
Cash and Short Term Invs,,,217410.0,205823.0,190010.0,178414.0,Balance Sheet
Prepaid Expenses,,,3894.0,3159.0,2562.0,3626.0,Balance Sheet
Total Current Assets,,,221304.0,208982.0,192572.0,182040.0,Balance Sheet
Prop./Plant/Equip. - Net,,,2.0,4.0,3.0,2.0,Balance Sheet
Long Term Investments,,,0.0,,,,Balance Sheet
Other Long Term Assets,,,3480.0,3460.0,3536.0,4415.0,Balance Sheet
Total Assets,,,224786.0,212446.0,196111.0,186457.0,Balance Sheet
Accounts Payable,,,3459.0,3325.0,2584.0,3898.0,Balance Sheet
Accrued Expenses,,,6633.0,9609.0,6189.0,9940.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,10092.0,12934.0,8773.0,13838.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Liabilities,,,10092.0,12934.0,8773.0,13838.0,Balance Sheet
Common Stock,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,327387.0,329192.0,330951.0,332996.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-112653.0,-129047.0,-142788.0,-159564.0,Balance Sheet
"Other Equity, Total",,,-43.0,-636.0,-828.0,-816.0,Balance Sheet
Total Equity,,,214694.0,199512.0,187338.0,172619.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,224786.0,212446.0,196111.0,186457.0,Balance Sheet
Ttl Comm. Shares Outs.,,,33532.0,33734.0,33738.0,33816.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,0.0,0.0,0.0,0.0,Income Statement
Selling/Gen/Admin Expense,,,2685.0,3313.0,3307.0,2942.0,Income Statement
Labor & Related Expense,,,,698.0,1032.0,1153.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,2685.0,4011.0,4339.0,4095.0,Income Statement
Research & Development,,,12129.0,12502.0,9677.0,13453.0,Income Statement
Total Operating Expense,,,14814.0,16513.0,14016.0,17548.0,Income Statement
Total Operating Income,,,-14814.0,-16513.0,-14016.0,-17548.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,73.0,64.0,148.0,194.0,Income Statement
OtherNon-OperatInc (Expnse),,,17.0,55.0,127.0,578.0,Income Statement
"Other, Net",,,17.0,55.0,127.0,578.0,Income Statement
Income Before Tax,,,-14724.0,-16394.0,-13741.0,-16776.0,Income Statement
Income Tax - Total,,,2.0,,,,Income Statement
Income After Tax,,,-14726.0,-16394.0,-13741.0,-16776.0,Income Statement
Net Inc Before Extra Items,,,-14726.0,-16394.0,-13741.0,-16776.0,Income Statement
Total Net Income,,,-14726.0,-16394.0,-13741.0,-16776.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-14726.0,-16394.0,-13741.0,-16776.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-14726.0,-16394.0,-13741.0,-16776.0,Income Statement
Basic/Primary Weighted Average Shares,,,33707.0,33646.0,33736.0,33766.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-0.44,-0.49,-0.41,-0.5,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-0.44,-0.49,-0.41,-0.5,Income Statement
Diluted Weighted Average Shares,,,33707.0,33646.0,33736.0,33766.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-0.44,-0.49,-0.41,-0.5,Income Statement
Diluted EPS Incl. Extra. Items,,,-0.44,-0.49,-0.41,-0.5,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,3.0,1.0,1.0,1.0,Income Statement
Normalzd Income Before Tax,,,-14724.0,-16394.0,-13741.0,-16776.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,2.0,,,,Income Statement
Normalized Income After Tax,,,-14726.0,-16394.0,-13741.0,-16776.0,Income Statement
Normalzd Inc Avail to Common,,,-14726.0,-16394.0,-13741.0,-16776.0,Income Statement
Basic Normalized EPS,,,-0.44,-0.49,-0.41,-0.5,Income Statement
Diluted Normalized EPS,,,-0.44,-0.49,-0.41,-0.5,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,-42311.0,-16394.0,-30135.0,-46911.0,Cash Flow
Depreciation/Depletion,,,6.0,1.0,2.0,3.0,Cash Flow
Unusual Items,,,0.0,,,,Cash Flow
Other Non-Cash Items,,,2334.0,1279.0,2893.0,3975.0,Cash Flow
Non-Cash Items,,,2334.0,1279.0,2893.0,3975.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,74.0,178.0,262.0,302.0,Cash Flow
Prepaid Expenses,,,-2710.0,735.0,1332.0,282.0,Cash Flow
Other Assets,,,-2051.0,17.0,28.0,34.0,Cash Flow
Accounts Payable,,,2062.0,-134.0,-875.0,439.0,Cash Flow
Accrued Expenses,,,2907.0,2976.0,-531.0,3176.0,Cash Flow
Changes in Working Capital,,,208.0,3594.0,-46.0,3931.0,Cash Flow
Total Cash from Operations,,,-39763.0,-11520.0,-27286.0,-39002.0,Cash Flow
Capital Expenditures,,,0.0,,,,Cash Flow
Sale/Maturity of Investment,,,79153.0,49660.0,129160.0,191660.0,Cash Flow
Purchase of Investments,,,-208422.0,-41561.0,-90799.0,-156587.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,-129269.0,8099.0,38361.0,35073.0,Cash Flow
Total Cash from Investing,,,-129269.0,8099.0,38361.0,35073.0,Cash Flow
