,FOR
% Above Low,0.43090000000000006
% Held by Institutions,0.35229999999999995
52-Wk Range,['10.28 - 22.60']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,10.33
Bid Size,
Closing Price,14.71
Day Change $,-0.04
Day Change %,-0.0027
Day High,14.78
Day Low,14.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.59
Ex-dividend Date,No dividend
Historical Volatility,0.423
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,732.1M
"P/E Ratio (TTM, GAAP)",4.1
Prev Close,14.75
Short Interest,0.013600000000000001
Today's Open,14.7
Volume,31884.0
Volume 10-day Avg,110106.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4285714285714286
Growth 2yr High Est,-0.08664259927797846
Growth 2yr Consensus Est,-0.25760701392470353
Growth 5yr Low Est,-0.4285714285714286
Growth 5yr High Est,-0.08664259927797846
Growth 5yr Consensus Est,-0.25760701392470353
Growth 5yr Actual/Est,0.22902564038843473
Growth 3yr Historic,0.3544893861158921
Price/Earnings (TTM),4.09923
Price/Sales (TTM),0.48194
Price/Book (MRQ),0.61086
Price/Cash Flow (TTM),4.03366
5yr Low,9.43
5yr High,26.55
5yr Avg Return,-0.018499999999999996
Short Int Current Month,246169.0
Short Int Prev Month,309209.0
Short Int Pct of Float,0.0135836
Days to Cover,2.39788
Float,18.12604
Shares Outstanding,49.76948
Institutions Holding Shares,172.0
FCF Growth 5yr,2.0669917212418905
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",4.1
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2158
Operating Profit Margin (TTM),0.15380000000000002
Net Profit Margin (TTM),0.1177
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2822
EPS Growth (TTM),0.5972999999999999
Revenue Growth (MRQ),0.23629999999999998
Revenue Growth (TTM),0.1458
Return On Equity (TTM),0.1616
Return On Assets (TTM),0.0805
Return On Investment (TTM),0.09609999999999999
Revenue Per Employee (TTM),6576191.0
Total Debt/Total Capital (MRQ),0.37060000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-05-24 00:00:00
researchTeam since,2022-05-24 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-08 00:00:00
cfra since,
marketEdge opinion since,
