,DORM
% Above Low,0.23940000000000003
% Held by Institutions,0.76
52-Wk Range,['73.32 - 119.46']
Annual Dividend $,
Annual Dividend %,
Ask,142.39
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.6
Bid,71.0
Bid Size,500.0
Closing Price,90.87
Day Change $,0.45
Day Change %,0.005
Day High,91.09
Day Low,89.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.36
Ex-dividend Date,No dividend
Historical Volatility,0.35000000000000003
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.84
Prev Close,90.42
Short Interest,0.0154
Today's Open,90.72
Volume,34421.0
Volume 10-day Avg,95456.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.015118790496760237
Growth 1yr High Est,0.036247334754797356
Growth 1yr Consensus Est,0.025683062625778796
Growth 2yr Low Est,0.05755939524838005
Growth 2yr High Est,0.11071625996999124
Growth 2yr Consensus Est,0.08413782760918564
Growth 5yr Low Est,0.05755939524838005
Growth 5yr High Est,0.11071625996999124
Growth 5yr Consensus Est,0.08413782760918564
Growth 5yr Actual/Est,0.20001177182635105
Growth 3yr Historic,0.16170358217117858
Price/Earnings (TTM),20.84012
Price/Sales (TTM),1.75085
Price/Book (MRQ),2.79624
Price/Cash Flow (TTM),15.9332
5yr Low,44.49
5yr High,122.96
5yr Avg Return,0.07511666666666666
EPS Growth 5yr,0.0606962
Revenue Growth 5yr,0.09370660000000001
Dividend Growth 5yr,
Short Int Current Month,402033.0
Short Int Prev Month,454247.0
Short Int Pct of Float,0.015418300000000001
Days to Cover,4.55753
Float,26.07498
Shares Outstanding,31.41858
Institutions Holding Shares,323.0
FCF Growth 5yr,-0.4023767373130642
"Price/Earnings (TTM, GAAP)",20.84
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.33
Operating Profit Margin (TTM),0.1125
Net Profit Margin (TTM),0.08449999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.193
EPS Growth (TTM),0.0495
Revenue Growth (MRQ),-0.0095
Revenue Growth (TTM),0.3063
Return On Equity (TTM),0.1431
Return On Assets (TTM),0.08070000000000001
Return On Investment (TTM),0.13
Revenue Per Employee (TTM),485311.0
Total Debt/Total Capital (MRQ),0.1834
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),0.74
Interest Coverage (MRQ),17.96
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-25 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-10-01 00:00:00
