,QDEL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.25,61.36,Valuation,0.08556062581486311
Price/Sales (TTM),1.92,9.8,Valuation,0.19591836734693877
Price/Book (MRQ),1.21,10.31,Valuation,0.11736178467507273
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.6509,0.6196,Profitability,1.050516462233699
Operating Profit Margin (TTM),0.3655,0.047,Profitability,7.776595744680851
Net Profit Margin (TTM),0.26670000000000005,0.009300000000000001,Profitability,28.67741935483871
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.22039999999999998,-0.4858,Gowth rates,0.453684643886373
EPS Growth (TTM),-0.1766,-0.2029,Gowth rates,0.8703794972893051
Revenue Growth (MRQ),0.2778,0.1161,Gowth rates,2.392764857881137
Revenue Growth (TTM),0.623,0.18300000000000002,Gowth rates,3.404371584699453
Return On Equity (TTM),0.2519,0.1068,Effectiveness,2.358614232209738
Return On Assets (TTM),0.15050000000000002,0.0622,Effectiveness,2.4196141479099684
Return On Investment (TTM),0.1688,0.0732,Effectiveness,2.3060109289617485
Revenue Per Employee (TTM),1897729.0,403586.0,Effectiveness,4.702167567755076
Total Debt/Total Capital (MRQ),0.3593,0.3161,Financial strength,1.1366656121480545
Change in Debt/Total Capital Quarter over Quarter,,0.0125,Financial strength,
Quick Ratio (MRQ),1.04,2.25,Financial strength,0.46222222222222226
Interest Coverage (MRQ),2.8,14.99,Financial strength,0.1867911941294196
