,QDEL
% Above Low,0.281
% Held by Institutions,0.9631000000000001
52-Wk Range,['66.88 - 180.06']
Annual Dividend $,
Annual Dividend %,
Ask,85.67
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.3
Bid,85.42
Bid Size,100.0
Day Change $,-2.53
Day Change %,-0.0287
Day High,88.11
Day Low,85.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",16.8
Ex-dividend Date,No dividend
Historical Volatility,0.528
Last (size),200.0
Last (time),12:03p ET 11/28/22
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.25
Prev Close,88.2
Price,85.67
Short Interest,0.06480000000000001
Today's Open,87.35
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.2772384034519957
Growth 1yr High Est,-0.25413223140495866
Growth 1yr Consensus Est,-0.2656853174284772
Growth 2yr Low Est,-0.4647386047110725
Growth 2yr High Est,-0.4366229024060804
Growth 2yr Consensus Est,-0.45068075355857645
Growth 5yr Low Est,-0.3098257364740483
Growth 5yr High Est,-0.29108193493738693
Growth 5yr Consensus Est,-0.30045383570571765
Growth 5yr Actual/Est,1.1872287162164634
Growth 3yr Historic,1.3991572350006085
Price/Earnings (TTM),5.25049
Price/Sales (TTM),1.91848
Price/Book (MRQ),1.21394
Price/Cash Flow (TTM),5.8774
5yr Low,36.9
5yr High,306.72
5yr Avg Return,0.2730166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.5471600999999999
Dividend Growth 5yr,
Short Int Current Month,3138274.0
Short Int Prev Month,3150308.0
Short Int Pct of Float,0.06483799999999999
Days to Cover,5.06667
Float,60.91672
Shares Outstanding,66.04536
Institutions Holding Shares,439.0
FCF Growth 5yr,0.09600005700184822
"Price/Earnings (TTM, GAAP)",5.25
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6509
Operating Profit Margin (TTM),0.3655
Net Profit Margin (TTM),0.26670000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.22039999999999998
EPS Growth (TTM),-0.1766
Revenue Growth (MRQ),0.2778
Revenue Growth (TTM),0.623
Return On Equity (TTM),0.2519
Return On Assets (TTM),0.15050000000000002
Return On Investment (TTM),0.1688
Revenue Per Employee (TTM),1897729.0
Total Debt/Total Capital (MRQ),0.3593
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.04
Interest Coverage (MRQ),2.8
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-09-24 00:00:00
theStreet since,2022-02-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
