,EA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",40.44,-577.59,Valuation,-0.07001506258764867
Price/Sales (TTM),4.91,6.3,Valuation,0.7793650793650794
Price/Book (MRQ),4.6,7.63,Valuation,0.6028833551769331
"PEG Ratio (TTM, GAAP)",3.78,-24.63,Valuation,-0.15347137637028013
Gross Profit Margin (TTM),0.7517,0.41159999999999997,Profitability,1.8262876579203111
Operating Profit Margin (TTM),0.1833,0.0672,Profitability,2.7276785714285716
Net Profit Margin (TTM),0.12369999999999999,0.0336,Profitability,3.681547619047619
Annual Dividend Yield,0.0059,0.0015,Dividend,3.933333333333333
Dividend Change %,,0.018600000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.010400000000000001,Dividend,
EPS Growth (MRQ),-0.0317,-1.1815,Gowth rates,0.026830300465509944
EPS Growth (TTM),0.18030000000000002,0.2345,Gowth rates,0.7688699360341152
Revenue Growth (MRQ),0.0775,0.2214,Gowth rates,0.35004516711833783
Revenue Growth (TTM),0.139,0.44170000000000004,Gowth rates,0.31469323069956984
Return On Equity (TTM),0.1151,0.1716,Effectiveness,0.6707459207459207
Return On Assets (TTM),0.069,0.0233,Effectiveness,2.96137339055794
Return On Investment (TTM),0.086,0.027999999999999997,Effectiveness,3.0714285714285716
Revenue Per Employee (TTM),564729.0,999442.0,Effectiveness,0.5650442947164518
Total Debt/Total Capital (MRQ),0.1942,0.4204,Financial strength,0.4619410085632731
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0014000000000000002,Financial strength,0.0
Quick Ratio (MRQ),,0.41,Financial strength,
Interest Coverage (MRQ),,-3.12,Financial strength,
