,EA
Price/Earnings (TTM),40.44006
Price/Sales (TTM),4.90767
Price/Book (MRQ),4.60009
Price/Cash Flow (TTM),25.61059
5yr Low,73.91
5yr High,151.26
5yr Avg Return,0.058199999999999974
EPS Growth 5yr,-0.0217661
Revenue Growth 5yr,0.0760913
Dividend Growth 5yr,
Short Int Current Month,4248431.0
Short Int Prev Month,4294891.0
Short Int Pct of Float,0.0154794
Days to Cover,1.6262
Float,274.5406
Shares Outstanding,276.0802
Institutions Holding Shares,1397.0
% Held by Institutions,0.9240510000000001
FCF Growth 5yr,0.14017384961053456
