,2017,2018,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,110.52,151.26,108.92,147.36,150.3,142.79,,,,,
low,99.63,73.91,77.2,85.69,120.08,109.24,,,,,
change,-0.018000000000000002,-0.2566,0.3923,0.33039999999999997,-0.0805,-0.0184,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,2670.0,2732.0,2082.0,1539.0,Balance Sheet
Short Term Investments,,,,,,,346.0,330.0,334.0,335.0,Balance Sheet
Cash and Short Term Invs,,,,,,,3016.0,3062.0,2416.0,1874.0,Balance Sheet
"Total Receivables, Net",,,,,,,965.0,650.0,579.0,919.0,Balance Sheet
Prepaid Expenses,,,,,,,,,,242.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,377.0,439.0,522.0,407.0,Balance Sheet
Total Current Assets,,,,,,,4358.0,4151.0,3517.0,3442.0,Balance Sheet
Buildings,,,,,,,568.0,577.0,534.0,543.0,Balance Sheet
Land/Improvements,,,,,,,66.0,66.0,66.0,66.0,Balance Sheet
Machinery/Equipment,,,,,,,835.0,853.0,855.0,861.0,Balance Sheet
Construction in Progress,,,,,,,21.0,30.0,34.0,11.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,91.0,409.0,94.0,86.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,1581.0,1935.0,1583.0,1567.0,Balance Sheet
Accumulated Depreciation,,,,,,,-1059.0,-1071.0,-1038.0,-1036.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,522.0,864.0,545.0,531.0,Balance Sheet
"Goodwill, Gross",,,,,,,5757.0,5755.0,5750.0,5743.0,Balance Sheet
Accum. Goodwill Amort.,,,,,,,-368.0,-368.0,-368.0,-368.0,Balance Sheet
"Goodwill, Net",,,,,,,5389.0,5387.0,5382.0,5375.0,Balance Sheet
Intangibles - Gross,,,,,,,1945.0,1847.0,1847.0,1829.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-893.0,-885.0,-954.0,-1018.0,Balance Sheet
Intangibles - Net,,,,,,,1052.0,962.0,893.0,811.0,Balance Sheet
Other Long Term Assets,,,,,,,479.0,193.0,528.0,525.0,Balance Sheet
Total Assets,,,,,,,13930.0,13800.0,13192.0,13079.0,Balance Sheet
Accounts Payable,,,,,,,86.0,101.0,70.0,136.0,Balance Sheet
Accrued Expenses,,,,,,,1302.0,1232.0,936.0,923.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,,2242.0,2180.0,1680.0,1502.0,Balance Sheet
Income Taxes Payable,,,,,,,,,147.0,,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,2242.0,2180.0,1827.0,1502.0,Balance Sheet
Total Current Liabilities,,,,,,,3630.0,3513.0,2833.0,2561.0,Balance Sheet
Total Long Term Debt,,,,,,,1878.0,1878.0,1878.0,1879.0,Balance Sheet
Total Debt,,,,,,,1878.0,1878.0,1878.0,1879.0,Balance Sheet
Deferred Income Tax,,,,,,,75.0,1.0,1.0,1.0,Balance Sheet
"Other Liabilities, Total",,,,,,,730.0,783.0,839.0,840.0,Balance Sheet
Total Liabilities,,,,,,,6313.0,6175.0,5551.0,5281.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,,0.0,,,Balance Sheet
Common Stock,,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,7608.0,7607.0,7567.0,7658.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,-1.0,-3.0,-4.0,-4.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-30.0,-29.0,-62.0,-105.0,Balance Sheet
Other Comprehensive Income,,,,,,,37.0,47.0,137.0,246.0,Balance Sheet
"Other Equity, Total",,,,,,,7.0,18.0,75.0,141.0,Balance Sheet
Total Equity,,,,,,,7617.0,7625.0,7641.0,7798.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,13930.0,13800.0,13192.0,13079.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,282.0,280.0,279.0,277.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,1789.0,1825.0,1767.0,1904.0,Income Statement
"Cost of Revenue, Total",,,,,,,631.0,408.0,314.0,456.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,414.0,371.0,359.0,363.0,Income Statement
Labor & Related Expense,,,,,,,42.0,39.0,42.0,44.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,456.0,410.0,401.0,407.0,Income Statement
Research & Development,,,,,,,539.0,579.0,572.0,565.0,Income Statement
Depreciation/Amortization,,,,,,,47.0,44.0,39.0,31.0,Income Statement
Impair-Assets Held for Use,,,,,,,14.0,19.0,0.0,18.0,Income Statement
