,EA
% Below High,0.0931
% Held by Institutions,0.9240999999999999
52-Wk Range,['109.24 - 142.79']
Annual Dividend $,0.76
Annual Dividend %,0.0059
Ask,129.98
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.9
Bid,128.97
Bid Size,100.0
Closing Price,129.5
Day Change $,-1.46
Day Change %,-0.0111
Day High,130.27
Day Low,129.15
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",3.2
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.262
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,35.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",40.44
Prev Close,130.96
Short Interest,0.0155
Today's Open,129.98
Volume,781275.0
Volume 10-day Avg,1778716.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.27306273062730635
Growth 1yr High Est,0.027932960893854775
Growth 1yr Consensus Est,0.15049784576058056
Growth 2yr Low Est,0.17348788705278362
Growth 2yr High Est,0.13081430653388393
Growth 2yr Consensus Est,0.15215109679333377
Growth 5yr Low Est,0.16831242724401588
Growth 5yr High Est,0.17376915260347725
Growth 5yr Consensus Est,0.17104078992374658
Growth 5yr Actual/Est,0.13390766852403685
Growth 3yr Historic,0.10407394016089672
Price/Earnings (TTM),40.44006
Price/Sales (TTM),4.90767
Price/Book (MRQ),4.60009
Price/Cash Flow (TTM),25.61059
5yr Low,73.91
5yr High,151.26
5yr Avg Return,0.058199999999999974
EPS Growth 5yr,-0.0217661
Revenue Growth 5yr,0.0760913
Dividend Growth 5yr,
Short Int Current Month,4248431.0
Short Int Prev Month,4294891.0
Short Int Pct of Float,0.0154794
Days to Cover,1.6262
Float,274.5406
Shares Outstanding,276.0802
Institutions Holding Shares,1397.0
FCF Growth 5yr,0.14017384961053456
"Price/Earnings (TTM, GAAP)",40.44
"PEG Ratio (TTM, GAAP)",3.78
Gross Profit Margin (TTM),0.7517
Operating Profit Margin (TTM),0.1833
Net Profit Margin (TTM),0.12369999999999999
Annual Dividend Yield,0.0059
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0317
EPS Growth (TTM),0.18030000000000002
Revenue Growth (MRQ),0.0775
Revenue Growth (TTM),0.139
Return On Equity (TTM),0.1151
Return On Assets (TTM),0.069
Return On Investment (TTM),0.086
Revenue Per Employee (TTM),564729.0
Total Debt/Total Capital (MRQ),0.1942
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-11-02 00:00:00
ford since,2022-01-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-05-23 00:00:00
