,BRO
Price/Earnings (TTM),26.77716
Price/Sales (TTM),4.92125
Price/Book (MRQ),3.89467
Price/Cash Flow (TTM),20.88051
5yr Low,24.34
5yr High,74.0
5yr Avg Return,0.17633333333333337
EPS Growth 5yr,0.1786328
Revenue Growth 5yr,0.1155029
Dividend Growth 5yr,0.08626429999999999
Short Int Current Month,3530576.0
Short Int Prev Month,3265336.0
Short Int Pct of Float,0.014979899999999999
Days to Cover,2.87612
Float,235.823
Shares Outstanding,283.2224
Institutions Holding Shares,812.0
% Held by Institutions,0.72131
FCF Growth 5yr,0.7752875920561668
