,BRO
% Above Low,0.12
% Held by Institutions,0.7212999999999999
52-Wk Range,['52.91 - 74.00']
Annual Dividend $,0.46
Annual Dividend %,0.0078000000000000005
Ask,59.24
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.7
Bid,50.0
Bid Size,100.0
Closing Price,59.26
Day Change $,0.63
Day Change %,0.010700000000000001
Day High,59.52
Day Low,58.79
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",2.21
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.327
Last (size),1400.0
Last (time),5:00p ET 11/25/22
Market Cap,16.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",26.78
Prev Close,58.63
Short Interest,0.015
Today's Open,58.95
Volume,472452.0
Volume 10-day Avg,1096516.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.05769230769230771
Growth 1yr High Est,0.05504587155963292
Growth 1yr Consensus Est,0.056369089625970314
Growth 2yr Low Est,0.07884615384615379
Growth 2yr High Est,0.10795771838851209
Growth 2yr Consensus Est,0.09340193611733294
Growth 5yr Low Est,0.1563938798427849
Growth 5yr High Est,0.17434024909051987
Growth 5yr Consensus Est,0.1653670644666524
Growth 5yr Actual/Est,0.1606856899378022
Growth 3yr Historic,0.12605859709153122
Price/Earnings (TTM),26.77716
Price/Sales (TTM),4.92125
Price/Book (MRQ),3.89467
Price/Cash Flow (TTM),20.88051
5yr Low,24.34
5yr High,74.0
5yr Avg Return,0.17633333333333337
EPS Growth 5yr,0.1786328
Revenue Growth 5yr,0.1155029
Dividend Growth 5yr,0.08626429999999999
Short Int Current Month,3530576.0
Short Int Prev Month,3265336.0
Short Int Pct of Float,0.014979899999999999
Days to Cover,2.87612
Float,235.823
Shares Outstanding,283.2224
Institutions Holding Shares,812.0
FCF Growth 5yr,0.7752875920561668
"Price/Earnings (TTM, GAAP)",26.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2722
Net Profit Margin (TTM),0.18420000000000003
Annual Dividend Yield,0.0078000000000000005
Dividend Change %,0.0935
"Dividend Growth Rate, 3 Years",0.076
EPS Growth (MRQ),0.1082
EPS Growth (TTM),0.0785
Revenue Growth (MRQ),0.10470000000000002
Revenue Growth (TTM),0.15410000000000001
Return On Equity (TTM),0.1464
Return On Assets (TTM),0.054000000000000006
Return On Investment (TTM),0.07780000000000001
Revenue Per Employee (TTM),283662.0
Total Debt/Total Capital (MRQ),0.488
Change in Debt/Total Capital Quarter over Quarter,0.0042
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.61
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
cfra since,2017-04-01 00:00:00
ford since,2022-04-08 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2011-11-15 00:00:00
