,ANAB
% Below High,0.2473
% Held by Institutions,1.1649
52-Wk Range,['18.20 - 37.40']
Annual Dividend $,
Annual Dividend %,
Ask,40.0
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,0.0
Bid,11.26
Bid Size,200.0
Closing Price,28.15
Day Change $,0.2
Day Change %,0.0072
Day High,28.64
Day Low,27.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.83
Ex-dividend Date,No dividend
Historical Volatility,0.58
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,804.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,27.95
Short Interest,0.1954
Today's Open,27.92
Volume,35853.0
Volume 10-day Avg,178471.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.01449275362318847
Growth 2yr High Est,-0.14883720930232547
Growth 2yr Consensus Est,-0.0671722278395685
Growth 5yr Low Est,0.01449275362318847
Growth 5yr High Est,-0.14883720930232547
Growth 5yr Consensus Est,-0.0671722278395685
Growth 5yr Actual/Est,0.5535166906050261
Growth 3yr Historic,0.2527492389649923
Price/Earnings (TTM),
Price/Sales (TTM),178.2518
Price/Book (MRQ),2.87504
Price/Cash Flow (TTM),
5yr Low,10.0
5yr High,134.0
5yr Avg Return,-0.02031666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.3051157
Dividend Growth 5yr,
Short Int Current Month,5539182.0
Short Int Prev Month,5625875.0
Short Int Pct of Float,0.1954283
Days to Cover,25.5409
Float,28.3438
Shares Outstanding,28.43163
Institutions Holding Shares,181.0
FCF Growth 5yr,0.3294268729721546
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-26.8013
Net Profit Margin (TTM),-30.0332
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.026000000000000002
EPS Growth (TTM),-16.6903
Revenue Growth (MRQ),0.0633
Revenue Growth (TTM),-0.9632
Return On Equity (TTM),-0.4079
Return On Assets (TTM),-0.2586
Return On Investment (TTM),-0.2695
Revenue Per Employee (TTM),44020.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2018-02-27 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2018-02-27 00:00:00
