,ANAB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),178.25,45.03,Valuation,3.958472129691317
Price/Book (MRQ),2.88,12.61,Valuation,0.22839016653449642
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-26.8013,-4.7459,Profitability,5.647253418740387
Net Profit Margin (TTM),-30.0332,-4.5467,Profitability,6.6054940946180745
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.026000000000000002,-0.0014000000000000002,Gowth rates,18.57142857142857
EPS Growth (TTM),-16.6903,0.027200000000000002,Gowth rates,-613.6139705882352
Revenue Growth (MRQ),0.0633,1.3963999999999999,Gowth rates,0.045330850759094814
Revenue Growth (TTM),-0.9632,0.9747,Gowth rates,-0.9882014978967887
Return On Equity (TTM),-0.4079,0.1967,Effectiveness,-2.0737163192679207
Return On Assets (TTM),-0.2586,0.0016,Effectiveness,-161.625
Return On Investment (TTM),-0.2695,0.0219,Effectiveness,-12.305936073059362
Revenue Per Employee (TTM),44020.0,1476201.0,Effectiveness,0.0298197874137736
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
