,EQH
Price/Earnings (TTM),4.36115
Price/Sales (TTM),0.87999
Price/Book (MRQ),6.44603
Price/Cash Flow (TTM),
5yr Low,9.89
5yr High,37.13
5yr Avg Return,0.12092
EPS Growth 5yr,
Revenue Growth 5yr,0.025297399999999998
Dividend Growth 5yr,
Short Int Current Month,3636698.0
Short Int Prev Month,4073419.0
Short Int Pct of Float,0.0098725
Days to Cover,1.25342
Float,368.4634
Shares Outstanding,370.0424
Institutions Holding Shares,576.0
% Held by Institutions,1.007975
FCF Growth 5yr,-0.010975424798366365
