,EQH
% Below High,0.1594
% Held by Institutions,1.008
52-Wk Range,['24.61 - 37.13']
Annual Dividend $,0.8
Annual Dividend %,0.0256
Ask,33.95
Ask Size,1100.0
B/A Ratio,0.09090909090909091
B/A Size,100x1100
Beta,1.4
Bid,12.11
Bid Size,100.0
Closing Price,31.21
Day Change $,0.13
Day Change %,0.0042
Day High,31.34
Day Low,30.97
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",7.16
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.36600000000000005
Last (size),700.0
Last (time),5:00p ET 11/25/22
Market Cap,11.5B
"P/E Ratio (TTM, GAAP)",4.36
Prev Close,31.08
Short Interest,0.009899999999999999
Today's Open,31.08
Volume,1038479.0
Volume 10-day Avg,2499333.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.1875
Growth 1yr High Est,-0.16793893129770987
Growth 1yr Consensus Est,-0.17771946564885494
Growth 2yr Low Est,-0.055288461538461564
Growth 2yr High Est,0.032544295819034896
Growth 2yr Consensus Est,-0.011372082859713334
Growth 5yr Low Est,0.070181856187291
Growth 5yr High Est,0.11173628293061447
Growth 5yr Consensus Est,0.09095906955895273
Growth 5yr Actual/Est,0.07173375803313922
Growth 3yr Historic,0.0868758134826354
Price/Earnings (TTM),4.36115
Price/Sales (TTM),0.87999
Price/Book (MRQ),6.44603
Price/Cash Flow (TTM),
5yr Low,9.89
5yr High,37.13
5yr Avg Return,0.12092
EPS Growth 5yr,
Revenue Growth 5yr,0.025297399999999998
Dividend Growth 5yr,
Short Int Current Month,3636698.0
Short Int Prev Month,4073419.0
Short Int Pct of Float,0.0098725
Days to Cover,1.25342
Float,368.4634
Shares Outstanding,370.0424
Institutions Holding Shares,576.0
FCF Growth 5yr,-0.010975424798366365
"Price/Earnings (TTM, GAAP)",4.36
"PEG Ratio (TTM, GAAP)",1.85
Gross Profit Margin (TTM),0.5241
Operating Profit Margin (TTM),0.11699999999999999
Net Profit Margin (TTM),0.23829999999999998
Annual Dividend Yield,0.0256
Dividend Change %,0.0758
"Dividend Growth Rate, 3 Years",0.39770000000000005
EPS Growth (MRQ),-0.8462999999999999
EPS Growth (TTM),2.5962
Revenue Growth (MRQ),0.0882
Revenue Growth (TTM),-0.1709
Return On Equity (TTM),0.4615
Return On Assets (TTM),0.0118
Return On Investment (TTM),0.0125
Revenue Per Employee (TTM),1682564.0
Total Debt/Total Capital (MRQ),0.6853
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-05-10 00:00:00
researchTeam since,2022-11-18 00:00:00
cfra since,2021-06-30 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
