,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,23.21,25.18,27.3,36.09,37.13,,,,,
low,14.72,16.05,9.89,24.56,24.61,,,,,
change,-0.158,0.5184000000000001,0.0265,0.27340000000000003,-0.055700000000000006,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,5188.0,5713.0,5109.0,4139.0,Balance Sheet
"Total Receivables, Net",,,,,,17278.0,16804.0,16424.0,15917.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,,1747.0,1335.0,Balance Sheet
Total Current Assets,,,,,,,,,,Balance Sheet
Intangibles - Net,,,,,,4728.0,4723.0,4721.0,5635.0,Balance Sheet
Long Term Investments,,,,,,101087.0,94766.0,89196.0,88499.0,Balance Sheet
Note Rcvble - Long Term,,,,,,4219.0,5121.0,5694.0,6240.0,Balance Sheet
Deferred Charges,,,,,,5491.0,6592.0,7541.0,8244.0,Balance Sheet
Disct. Ops. - LT Asset,,,,,,0.0,,,,Balance Sheet
Restricted Cash - LT,,,,,,1504.0,1693.0,,,Balance Sheet
Other Assets,,,,,,152767.0,142246.0,123050.0,115591.0,Balance Sheet
"Other Assets, Total",,,,,,152767.0,142246.0,123050.0,115591.0,Balance Sheet
Total Assets,,,,,,292262.0,277658.0,253482.0,245600.0,Balance Sheet
Notes Payable/ST Debt,,,,,,1283.0,1386.0,1395.0,1932.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,5353.0,4606.0,5425.0,5338.0,Balance Sheet
Income Taxes Payable,,,,,,0.0,,,,Balance Sheet
Other Payables,,,,,,6264.0,7007.0,5786.0,5316.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,6264.0,7007.0,5786.0,5316.0,Balance Sheet
Total Current Liabilities,,,,,,,,,,Balance Sheet
Total Long Term Debt,,,,,,11848.0,5318.0,5698.0,4026.0,Balance Sheet
Total Debt,,,,,,18484.0,11310.0,12518.0,11296.0,Balance Sheet
Minority Interest,,,,,,2044.0,1915.0,1758.0,1833.0,Balance Sheet
Discont. Ops. - Lblts,,,,,,0.0,,,,Balance Sheet
Other Liabilities,,,,,,253951.0,249472.0,227831.0,223801.0,Balance Sheet
"Other Liabilities, Total",,,,,,253951.0,249472.0,227831.0,223801.0,Balance Sheet
Total Liabilities,,,,,,280743.0,269704.0,247893.0,242246.0,Balance Sheet
Redeemable Preferred Stock,,,,,,1562.0,1562.0,1562.0,1562.0,Balance Sheet
Common Stock,,,,,,4.0,4.0,4.0,4.0,Balance Sheet
Additional Paid-In Capital,,,,,,1919.0,1933.0,1918.0,2027.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,8880.0,9312.0,10718.0,10839.0,Balance Sheet
Treasury Stock - Common,,,,,,-2850.0,-3070.0,-3065.0,-3202.0,Balance Sheet
Unrealized Gain (Loss),,,,,,2684.0,-1142.0,-4884.0,-7210.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,-45.0,-57.0,-90.0,-120.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,-669.0,-626.0,-624.0,-608.0,Balance Sheet
Other Comprehensive Income,,,,,,34.0,38.0,50.0,62.0,Balance Sheet
"Other Equity, Total",,,,,,-680.0,-645.0,-664.0,-666.0,Balance Sheet
Total Equity,,,,,,11519.0,7954.0,5589.0,3354.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,292262.0,277658.0,253482.0,245600.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,391.0,384.0,377.0,370.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,130.0,136.0,136.0,140.0,Balance Sheet
Shrs Out-Pref Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Shrs Out-Pref Stk Iss. 2,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
