,WWE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",32.19,-577.59,Valuation,-0.05573157430010907
Price/Sales (TTM),4.7,6.3,Valuation,0.746031746031746
Price/Book (MRQ),12.74,7.63,Valuation,1.6697247706422018
"PEG Ratio (TTM, GAAP)",,-24.63,Valuation,
Gross Profit Margin (TTM),,0.41159999999999997,Profitability,
Operating Profit Margin (TTM),0.23600000000000002,0.0672,Profitability,3.5119047619047623
Net Profit Margin (TTM),0.1705,0.0336,Profitability,5.074404761904763
Annual Dividend Yield,0.0059,0.0015,Dividend,3.933333333333333
Dividend Change %,,0.018600000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.010400000000000001,Dividend,
EPS Growth (MRQ),-0.1557,-1.1815,Gowth rates,0.13178163351671604
EPS Growth (TTM),0.6375000000000001,0.2345,Gowth rates,2.7185501066098086
Revenue Growth (MRQ),-0.0716,0.2214,Gowth rates,-0.3233965672990063
Revenue Growth (TTM),0.24760000000000001,0.44170000000000004,Gowth rates,0.5605614670590898
Return On Equity (TTM),0.5158,0.1716,Effectiveness,3.005827505827506
Return On Assets (TTM),0.1741,0.0233,Effectiveness,7.472103004291846
Return On Investment (TTM),0.26170000000000004,0.027999999999999997,Effectiveness,9.346428571428573
Revenue Per Employee (TTM),1467218.0,999442.0,Effectiveness,1.4680371647379238
Total Debt/Total Capital (MRQ),0.5664,0.4204,Financial strength,1.3472882968601332
Change in Debt/Total Capital Quarter over Quarter,-0.0011,0.0014000000000000002,Financial strength,-0.7857142857142857
Quick Ratio (MRQ),1.46,0.41,Financial strength,3.5609756097560976
Interest Coverage (MRQ),14.16,-3.12,Financial strength,-4.538461538461538
