,ACRS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.92,Valuation,
Price/Sales (TTM),49.74,18.11,Valuation,2.7465488680287136
Price/Book (MRQ),5.32,11.51,Valuation,0.46220677671589927
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.5065999999999999,0.6774,Profitability,0.7478594626513138
Operating Profit Margin (TTM),-3.5603,-0.8243,Profitability,4.319179910226858
Net Profit Margin (TTM),-3.4926,-0.8643000000000001,Profitability,4.040958000694203
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),0.0382,0.0882,Gowth rates,0.4331065759637188
EPS Growth (TTM),0.1768,0.5872999999999999,Gowth rates,0.3010386514558148
Revenue Growth (MRQ),11.4463,0.0441,Gowth rates,259.55328798185946
Revenue Growth (TTM),2.4357,0.17600000000000002,Gowth rates,13.839204545454546
Return On Equity (TTM),-0.3761,0.30160000000000003,Effectiveness,-1.2470159151193632
Return On Assets (TTM),-0.3091,0.092,Effectiveness,-3.359782608695652
Return On Investment (TTM),-0.3326,0.13820000000000002,Effectiveness,-2.4066570188133136
Revenue Per Employee (TTM),313333.0,1425813.0,Effectiveness,0.2197574296208549
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.1,Financial strength,
