,ON
% Below High,0.050199999999999995
% Held by Institutions,1.0290000000000001
52-Wk Range,['44.76 - 77.28']
Annual Dividend $,
Annual Dividend %,
Ask,72.72
Ask Size,100.0
Ask close,78.46
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,72.35
Bid Size,100.0
Bid close,69.17
Change Since Close,-1.00| |(-1.36%)
Closing Price,73.4
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.85
Ex-dividend Date,No dividend
Historical Volatility,0.616
Last (size),10.0
Last (time),12:59p ET 11/25/22
Last Trade,72.4
Market Cap,31.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.04
Prev Close,73.4
Short Interest,0.0516
Today's Open,
Volume,5854.0
Volume 10-day Avg,6148378.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,2.395973154362416
Growth 1yr High Est,2.3413173652694614
Growth 1yr Consensus Est,2.3686452598159384
Growth 2yr Low Est,1.04778894872271
Growth 2yr High Est,1.1303361019895695
Growth 2yr Consensus Est,1.0890625253561397
Growth 5yr Low Est,0.523894474361355
Growth 5yr High Est,0.5651680509947847
Growth 5yr Consensus Est,0.5445312626780698
Growth 5yr Actual/Est,0.6717372871217545
Growth 3yr Historic,0.5102645084879589
Price/Earnings (TTM),19.04312
Price/Sales (TTM),3.93371
Price/Book (MRQ),5.6115
Price/Cash Flow (TTM),13.89176
5yr Low,8.17
5yr High,77.28
5yr Avg Return,0.2900666666666667
EPS Growth 5yr,0.3930946
Revenue Growth 5yr,0.1152261
Dividend Growth 5yr,
Short Int Current Month,22231272.0
Short Int Prev Month,21698886.0
Short Int Pct of Float,0.0516106
Days to Cover,2.93086
Float,430.7273
Shares Outstanding,432.4236
Institutions Holding Shares,1076.0
FCF Growth 5yr,0.4447349089644567
"Price/Earnings (TTM, GAAP)",19.04
"PEG Ratio (TTM, GAAP)",1.04
Gross Profit Margin (TTM),0.48200000000000004
Operating Profit Margin (TTM),0.2637
Net Profit Margin (TTM),0.2139
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.318
EPS Growth (TTM),1.5265000000000002
Revenue Growth (MRQ),0.0516
Revenue Growth (TTM),0.2727
Return On Equity (TTM),0.3525
Return On Assets (TTM),0.1722
Return On Investment (TTM),0.20550000000000002
Revenue Per Employee (TTM),268957.0
Total Debt/Total Capital (MRQ),0.36369999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),2.12
Interest Coverage (MRQ),39.18
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-19 00:00:00
theStreet since,2021-02-02 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2014-10-11 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
