,CSTM
% Above Low,0.23320000000000002
% Held by Institutions,0.9279000000000001
52-Wk Range,['9.82 - 20.85']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,2.2
Bid,9.0
Bid Size,
Closing Price,12.11
Day Change $,-0.09
Day Change %,-0.0074
Day High,12.36
Day Low,12.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.74
Ex-dividend Date,No dividend
Historical Volatility,0.529
Last (size),60.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.97
Prev Close,12.2
Short Interest,0.0204
Today's Open,12.18
Volume,238835.0
Volume 10-day Avg,900858.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,5.499999999999999
Growth 1yr High Est,1.3168316831683167
Growth 1yr Consensus Est,3.4084158415841577
Growth 2yr Low Est,2.528280542986425
Growth 2yr High Est,0.8336295167978336
Growth 2yr Consensus Est,1.6809550298921292
Growth 5yr Low Est,1.2641402714932124
Growth 5yr High Est,0.4168147583989168
Growth 5yr Consensus Est,0.8404775149460646
Growth 5yr Actual/Est,-3.6812417314214003
Growth 3yr Historic,-3.6512148337595907
Price/Earnings (TTM),6.97289
Price/Sales (TTM),0.22275
Price/Book (MRQ),2.88847
Price/Cash Flow (TTM),3.18388
5yr Low,3.9
5yr High,21.6
5yr Avg Return,0.10990000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.0533984
Dividend Growth 5yr,
Short Int Current Month,2898924.0
Short Int Prev Month,3516123.0
Short Int Pct of Float,0.020397699999999998
Days to Cover,2.85939
Float,142.12
Shares Outstanding,144.3016
Institutions Holding Shares,233.0
FCF Growth 5yr,0.5753753753753753
"Price/Earnings (TTM, GAAP)",6.97
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1
Operating Profit Margin (TTM),0.0592
Net Profit Margin (TTM),0.0335
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.1965000000000001
EPS Growth (TTM),0.23620000000000002
Revenue Growth (MRQ),0.1496
Revenue Growth (TTM),0.43100000000000005
Return On Equity (TTM),0.6958
Return On Assets (TTM),0.0517
Return On Investment (TTM),0.084
Revenue Per Employee (TTM),653760.0
Total Debt/Total Capital (MRQ),0.7816
Change in Debt/Total Capital Quarter over Quarter,-0.002
Quick Ratio (MRQ),0.57
Interest Coverage (MRQ),
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra since,
marketEdge opinion since,
marketEdge since,2021-07-29 00:00:00
theStreet since,
researchTeam since,
newConstructs since,
