,PL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,75.74,Valuation,
Price/Sales (TTM),,5.07,Valuation,
Price/Book (MRQ),2.32,7.18,Valuation,0.3231197771587744
"PEG Ratio (TTM, GAAP)",,3.68,Valuation,
Gross Profit Margin (TTM),,0.49210000000000004,Profitability,
Operating Profit Margin (TTM),,0.10619999999999999,Profitability,
Net Profit Margin (TTM),,0.055,Profitability,
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.051100000000000007,Dividend,
"Dividend Growth Rate, 3 Years",,0.0489,Dividend,
EPS Growth (MRQ),0.11599999999999999,-18.5673,Gowth rates,-0.00624754272295918
EPS Growth (TTM),,-0.2057,Gowth rates,
Revenue Growth (MRQ),0.2074,0.10880000000000001,Gowth rates,1.9062499999999998
Revenue Growth (TTM),,0.11970000000000001,Gowth rates,
Return On Equity (TTM),,0.1999,Effectiveness,
Return On Assets (TTM),,0.0565,Effectiveness,
Return On Investment (TTM),,0.0848,Effectiveness,
Revenue Per Employee (TTM),,417216.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.0,0.4147,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0070999999999999995,Financial strength,
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),,18.36,Financial strength,
