,PL
% Above Low,0.44560000000000005
% Held by Institutions,0.5627
52-Wk Range,['3.70 - 11.65']
Annual Dividend $,
Annual Dividend %,
Ask,5.35
Ask Size,1400.0
B/A Ratio,0.9285714285714286
B/A Size,1300x1400
Beta,
Bid,5.34
Bid Size,1300.0
Day Change $,0.02
Day Change %,0.0038
Day High,5.4
Day Low,5.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.855
Last (size),400.0
Last (time),10:56a ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.33
Price,5.35
Short Interest,0.0382
Today's Open,5.27
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-14 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.08450704225352101
Growth 2yr High Est,-0.5714285714285714
Growth 2yr Consensus Est,-0.3279678068410462
Growth 5yr Low Est,-0.08450704225352101
Growth 5yr High Est,-0.5714285714285714
Growth 5yr Consensus Est,-0.3279678068410462
Growth 5yr Actual/Est,-0.43412343470483006
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.32181
Price/Cash Flow (TTM),
5yr Low,3.7
5yr High,12.15
5yr Avg Return,-0.25675000000000003
Short Int Current Month,9284775.0
Short Int Prev Month,9823159.0
Short Int Pct of Float,0.0381966
Days to Cover,5.12731
Float,241.195
Shares Outstanding,270.0412
Institutions Holding Shares,205.0
FCF Growth 5yr,0.9135299000523921
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.11599999999999999
EPS Growth (TTM),
Revenue Growth (MRQ),0.2074
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
