,MRVI
% Above Low,0.0668
% Held by Institutions,0.9497
52-Wk Range,['13.41 - 46.29']
Annual Dividend $,
Annual Dividend %,
Ask,17.5
Ask Size,100.0
Ask close,15.14
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,13.59
Bid Size,100.0
Bid close,13.32
Change Since Close,0.00| |(0.00%)
Closing Price,14.3
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.35
Ex-dividend Date,No dividend
Historical Volatility,0.6409999999999999
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,14.3
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",6.09
Prev Close,14.3
Short Interest,0.0666
Today's Open,
Volume,1.0
Volume 10-day Avg,2368261.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.9209039548022598
Growth 2yr High Est,-0.7237569060773481
Growth 2yr Consensus Est,-0.822330430439804
Growth 5yr Low Est,-0.9209039548022598
Growth 5yr High Est,-0.7237569060773481
Growth 5yr Consensus Est,-0.822330430439804
Growth 5yr Actual/Est,-0.3284689344443393
Growth 3yr Historic,-0.10734463276836155
Price/Earnings (TTM),6.09045
Price/Sales (TTM),4.02488
Price/Book (MRQ),7.24448
Price/Cash Flow (TTM),6.5335
5yr Low,13.41
5yr High,63.55
5yr Avg Return,-0.10943333333333333
Short Int Current Month,7273931.0
Short Int Prev Month,6273306.0
Short Int Pct of Float,0.06658839999999999
Days to Cover,2.43371
Float,130.9183
Shares Outstanding,255.2088
Institutions Holding Shares,300.0
FCF Growth 5yr,-0.677427787612622
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",6.09
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8276000000000001
Operating Profit Margin (TTM),0.6792
Net Profit Margin (TTM),0.5839
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6881
EPS Growth (TTM),0.9217000000000001
Revenue Growth (MRQ),-0.212
Revenue Growth (TTM),0.35509999999999997
Return On Equity (TTM),0.5903
Return On Assets (TTM),0.2556
Return On Investment (TTM),0.30920000000000003
Revenue Per Employee (TTM),1929217.0
Total Debt/Total Capital (MRQ),0.38560000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.0024
Quick Ratio (MRQ),6.68
Interest Coverage (MRQ),38.16
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-07-27 00:00:00
theStreet since,2022-07-27 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
