,MRVI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.09,83.95,Valuation,0.07254318046456223
Price/Sales (TTM),4.02,6.06,Valuation,0.6633663366336633
Price/Book (MRQ),7.24,6.22,Valuation,1.1639871382636657
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.8276000000000001,0.5095000000000001,Profitability,1.6243375858684985
Operating Profit Margin (TTM),0.6792,0.0332,Profitability,20.457831325301207
Net Profit Margin (TTM),0.5839,-0.0454,Profitability,-12.86123348017621
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),-0.6881,-0.5094,Gowth rates,1.3508048684727132
EPS Growth (TTM),0.9217000000000001,-0.2377,Gowth rates,-3.8775767774505683
Revenue Growth (MRQ),-0.212,0.1691,Gowth rates,-1.2536960378474276
Revenue Growth (TTM),0.35509999999999997,0.1222,Gowth rates,2.905891980360065
Return On Equity (TTM),0.5903,1.1042,Effectiveness,0.5345951820322405
Return On Assets (TTM),0.2556,0.0644,Effectiveness,3.968944099378882
Return On Investment (TTM),0.30920000000000003,0.0802,Effectiveness,3.855361596009976
Revenue Per Employee (TTM),1929217.0,335561.0,Effectiveness,5.74922890323965
Total Debt/Total Capital (MRQ),0.38560000000000005,0.3893,Financial strength,0.9904957616234269
Change in Debt/Total Capital Quarter over Quarter,-0.0024,0.0252,Financial strength,-0.09523809523809523
Quick Ratio (MRQ),6.68,1.51,Financial strength,4.4238410596026485
Interest Coverage (MRQ),38.16,33.07,Financial strength,1.153915935893559
