,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,32.46,63.55,41.87,,,,,
low,23.62,25.32,13.41,,,,,
change,-0.12210000000000001,0.4523,-0.6585,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,551.0,431.0,551.0,617.0,Balance Sheet
"Trade Accts Recvble, Net",,,,118.0,120.0,120.0,114.0,Balance Sheet
Other Receivables,,,,,,9.0,18.0,Balance Sheet
"Total Receivables, Net",,,,118.0,120.0,129.0,132.0,Balance Sheet
Invent. - Finished Goods,,,,10.0,11.0,10.0,10.0,Balance Sheet
Invent. - Work In Progress,,,,21.0,21.0,30.0,31.0,Balance Sheet
Invent. - Raw Materials,,,,20.0,20.0,20.0,21.0,Balance Sheet
Total Inventory,,,,52.0,51.0,60.0,62.0,Balance Sheet
Prepaid Expenses,,,,20.0,16.0,20.0,23.0,Balance Sheet
Total Current Assets,,,,740.0,619.0,759.0,836.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,46.0,48.0,94.0,103.0,Balance Sheet
"Goodwill, Net",,,,153.0,284.0,284.0,284.0,Balance Sheet
Intangibles - Gross,,,,195.0,318.0,318.0,318.0,Balance Sheet
Accum. Intangible Amort.,,,,-77.0,-83.0,-89.0,-95.0,Balance Sheet
Intangibles - Net,,,,118.0,235.0,229.0,223.0,Balance Sheet
Deferred Charges,,,,,,10.0,11.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,808.0,793.0,780.0,771.0,Balance Sheet
Other Long Term Assets,,,,53.0,64.0,16.0,23.0,Balance Sheet
Total Assets,,,,1918.0,2043.0,2172.0,2249.0,Balance Sheet
Accounts Payable,,,,8.0,10.0,23.0,9.0,Balance Sheet
Accrued Expenses,,,,29.0,32.0,35.0,48.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,6.0,5.0,5.0,5.0,Balance Sheet
Customer Advances,,,,10.0,4.0,5.0,6.0,Balance Sheet
Other Payables,,,,35.0,35.0,35.0,35.0,Balance Sheet
Other Current Liabilities,,,,5.0,,9.0,12.0,Balance Sheet
"Other Curr. Lblts, Total",,,,50.0,38.0,49.0,53.0,Balance Sheet
Total Current Liabilities,,,,94.0,87.0,113.0,116.0,Balance Sheet
Long Term Debt,,,,525.0,524.0,524.0,523.0,Balance Sheet
Capital Lease Obligations,,,,0.0,,,,Balance Sheet
Total Long Term Debt,,,,525.0,524.0,524.0,523.0,Balance Sheet
Total Debt,,,,531.0,530.0,529.0,528.0,Balance Sheet
Deferred Income Tax,,,,0.0,,,,Balance Sheet
Minority Interest,,,,230.0,272.0,317.0,338.0,Balance Sheet
"Other Liabilities, Total",,,,755.0,778.0,762.0,769.0,Balance Sheet
Total Liabilities,,,,1603.0,1661.0,1715.0,1745.0,Balance Sheet
Common Stock,,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,,128.0,129.0,131.0,134.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,185.0,251.0,323.0,367.0,Balance Sheet
"Other Equity, Total",,,,0.0,,,,Balance Sheet
Total Equity,,,,315.0,383.0,457.0,504.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1918.0,2043.0,2172.0,2249.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,131.0,131.0,132.0,132.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,124.0,124.0,124.0,124.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,255.0,255.0,255.0,255.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,228444.0,244293.0,242732.0,191263.0,Income Statement
"Cost of Revenue, Total",,,,40633.0,40032.0,37496.0,38176.0,Income Statement
Selling/Gen/Admin Expense,,,,25937.0,29767.0,24298.0,26807.0,Income Statement
Labor & Related Expense,,,,1616.0,2633.0,3063.0,3288.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,27553.0,32400.0,27361.0,30095.0,Income Statement
Research & Development,,,,8573.0,3695.0,4274.0,5389.0,Income Statement
Depreciation/Amortization,,,,600.0,800.0,700.0,700.0,Income Statement
Unusual Expense (Income),,,,0.0,208.0,0.0,0.0,Income Statement
"Other Operat Expse, Total",,,,0.0,,-7800.0,0.0,Income Statement
Total Operating Expense,,,,77359.0,77135.0,62031.0,74360.0,Income Statement
Total Operating Income,,,,151085.0,167158.0,180701.0,116903.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-4433.0,-2664.0,-4434.0,-3136.0,Income Statement
OtherNon-OperatInc (Expnse),,,,-2830.0,2347.0,-1275.0,-4.0,Income Statement
"Other, Net",,,,-2830.0,2347.0,-1275.0,-4.0,Income Statement
Income Before Tax,,,,143822.0,166841.0,174992.0,113763.0,Income Statement
Income Tax - Total,,,,17578.0,19981.0,18271.0,14110.0,Income Statement
Income After Tax,,,,126244.0,146860.0,156721.0,99653.0,Income Statement
Minority Interest,,,,-70803.0,-79998.0,-85481.0,-55184.0,Income Statement
Net Inc Before Extra Items,,,,55441.0,66862.0,71240.0,44469.0,Income Statement
Total Net Income,,,,55441.0,66862.0,71240.0,44469.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,55441.0,66862.0,71240.0,44469.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,55441.0,66862.0,71240.0,44469.0,Income Statement
Basic/Primary Weighted Average Shares,,,,131642.0,131489.0,131524.0,131540.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,0.42,0.51,0.54,0.34,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,0.42,0.51,0.54,0.34,Income Statement
Dilution Adjustment,,,,54201.0,61101.0,65299.0,18.0,Income Statement
Diluted Weighted Average Shares,,,,257815.0,255287.0,255361.0,131651.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,0.43,0.5,0.53,0.34,Income Statement
Diluted EPS Incl. Extra. Items,,,,0.43,0.5,0.53,0.34,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,,,,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
