,BKNG
% Above Low,0.2275
% Held by Institutions,0.9256
52-Wk Range,"['1,616.85 - 2,715.66']"
Annual Dividend $,
Annual Dividend %,
Ask,1989.9
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.3
Bid,1983.01
Bid Size,100.0
Closing Price,1984.63
Day Change $,15.18
Day Change %,0.0077
Day High,1996.28
Day Low,1963.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",60.9
Ex-dividend Date,No dividend
Historical Volatility,0.44200000000000006
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,77.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",32.59
Prev Close,1969.45
Short Interest,0.0148
Today's Open,1968.48
Volume,168803.0
Volume 10-day Avg,356029.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.044190358467243396
Growth 1yr High Est,0.10116504854368924
Growth 1yr Consensus Est,0.028487345038222922
Growth 2yr Low Est,0.06385158227085075
Growth 2yr High Est,0.193282224501081
Growth 2yr Consensus Est,0.12856690338596588
Growth 5yr Low Est,0.031925791135425374
Growth 5yr High Est,0.0966411122505405
Growth 5yr Consensus Est,0.06428345169298294
Growth 5yr Actual/Est,2.288048391482512
Growth 3yr Historic,1.9408854850718698
Price/Earnings (TTM),32.58732
Price/Sales (TTM),4.8048
Price/Book (MRQ),21.13836
Price/Cash Flow (TTM),26.86064
5yr Low,1107.29
5yr High,2715.66
5yr Avg Return,0.02436666666666667
EPS Growth 5yr,-0.0796168
Revenue Growth 5yr,0.0039709
Dividend Growth 5yr,
Short Int Current Month,574089.0
Short Int Prev Month,509487.0
Short Int Pct of Float,0.014841100000000001
Days to Cover,1.27283
Float,38.69087
Shares Outstanding,38.78939
Institutions Holding Shares,1855.0
FCF Growth 5yr,0.4151681124517903
"Price/Earnings (TTM, GAAP)",32.59
"PEG Ratio (TTM, GAAP)",0.64
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2874
Net Profit Margin (TTM),0.1524
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9927
EPS Growth (TTM),5.7927
Revenue Growth (MRQ),0.4094
Revenue Growth (TTM),0.7387
Return On Equity (TTM),0.5297999999999999
Return On Assets (TTM),0.1075
Return On Investment (TTM),0.15710000000000002
Revenue Per Employee (TTM),789261.0
Total Debt/Total Capital (MRQ),0.7145
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.28
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-04 00:00:00
cfra since,2022-05-05 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-03-22 00:00:00
