,PINC
% Above Low,0.0737
% Held by Institutions,0.6818000000000001
52-Wk Range,['30.82 - 41.72']
Annual Dividend $,0.84
Annual Dividend %,0.0253
Ask,33.12
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,33.08
Bid Size,100.0
Day Change $,-0.16
Day Change %,-0.0048
Day High,33.22
Day Low,33.02
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.54
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.231
Last (size),100.0
Last (time),10:48a ET 11/28/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",21.55
Prev Close,33.25
Price,33.09
Short Interest,0.013600000000000001
Today's Open,33.13
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.028112449799196693
Growth 1yr High Est,0.05859375
Growth 1yr Consensus Est,0.043353099899598346
Growth 2yr Low Est,0.045306224899598346
Growth 2yr High Est,0.07726735470479706
Growth 2yr Consensus Est,0.061286789802197705
Growth 5yr Low Est,0.003958591482550927
Growth 5yr High Est,0.01827870337900353
Growth 5yr Consensus Est,0.011118647430777229
Growth 5yr Actual/Est,0.015901805313484257
Growth 3yr Historic,-0.021885708377643837
Price/Earnings (TTM),21.54893
Price/Sales (TTM),2.85811
Price/Book (MRQ),1.74595
Price/Cash Flow (TTM),12.28206
5yr Low,27.11
5yr High,47.22
5yr Avg Return,0.03863333333333334
EPS Growth 5yr,0.0760534
Revenue Growth 5yr,0.060895000000000005
Dividend Growth 5yr,
Short Int Current Month,1607686.0
Short Int Prev Month,1668259.0
Short Int Pct of Float,0.013605
Days to Cover,2.62344
Float,118.1686
Shares Outstanding,118.7621
Institutions Holding Shares,357.0
FCF Growth 5yr,0.07580953159655053
"Price/Earnings (TTM, GAAP)",21.55
"PEG Ratio (TTM, GAAP)",3.39
Gross Profit Margin (TTM),0.6333
Operating Profit Margin (TTM),0.1783
Net Profit Margin (TTM),0.1375
Annual Dividend Yield,0.0253
Dividend Change %,0.386
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4253
EPS Growth (TTM),-0.1592
Revenue Growth (MRQ),-0.0788
Revenue Growth (TTM),-0.2057
Return On Equity (TTM),0.08130000000000001
Return On Assets (TTM),0.054400000000000004
Return On Investment (TTM),0.0705
Revenue Per Employee (TTM),531395.0
Total Debt/Total Capital (MRQ),0.1893
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.73
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-05-06 00:00:00
theStreet since,2022-09-14 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-06 00:00:00
cfra since,
marketEdge opinion since,
