,PLMR
% Above Low,0.348
% Held by Institutions,0.9732
52-Wk Range,['44.01 - 95.20']
Annual Dividend $,
Annual Dividend %,
Ask,59.47
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,-0.1
Bid,59.17
Bid Size,100.0
Day Change $,-1.47
Day Change %,-0.024300000000000002
Day High,60.72
Day Low,59.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.93
Ex-dividend Date,No dividend
Historical Volatility,0.561
Last (size),2.0
Last (time),10:53a ET 11/28/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",31.46
Prev Close,60.8
Price,59.33
Short Interest,0.0329
Today's Open,60.72
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.432748538011696
Growth 1yr High Est,0.3999999999999999
Growth 1yr Consensus Est,0.41637426900584795
Growth 2yr Low Est,0.43882324859768473
Growth 2yr High Est,0.49365079365079356
Growth 2yr Consensus Est,0.46623702112423915
Growth 5yr Low Est,0.21941162429884237
Growth 5yr High Est,0.24682539682539678
Growth 5yr Consensus Est,0.23311851056211957
Growth 5yr Actual/Est,1.1930202775210326
Growth 3yr Historic,1.0148637489677952
Price/Earnings (TTM),31.45907
Price/Sales (TTM),4.92294
Price/Book (MRQ),4.17011
Price/Cash Flow (TTM),
5yr Low,18.06
5yr High,121.87
5yr Avg Return,0.5302
EPS Growth 5yr,0.4312643
Revenue Growth 5yr,0.42147640000000003
Dividend Growth 5yr,
Short Int Current Month,793026.0
Short Int Prev Month,874806.0
Short Int Pct of Float,0.0328828
Days to Cover,3.21768
Float,24.12531
Shares Outstanding,25.23274
Institutions Holding Shares,259.0
FCF Growth 5yr,0.12492765156833067
"Price/Earnings (TTM, GAAP)",31.46
"PEG Ratio (TTM, GAAP)",0.41
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.20690000000000003
Net Profit Margin (TTM),0.1606
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7067
EPS Growth (TTM),0.8525
Revenue Growth (MRQ),0.013000000000000001
Revenue Growth (TTM),0.43670000000000003
Return On Equity (TTM),0.1342
Return On Assets (TTM),0.0478
Return On Investment (TTM),
Revenue Per Employee (TTM),2063795.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),121.03
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-11-26 00:00:00
theStreet since,2022-04-19 00:00:00
ford since,2021-11-26 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
