,PLMR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",31.46,19.61,Valuation,1.604283528811831
Price/Sales (TTM),4.92,2.33,Valuation,2.111587982832618
Price/Book (MRQ),4.17,3.82,Valuation,1.0916230366492148
"PEG Ratio (TTM, GAAP)",0.41,37.63,Valuation,0.010895562051554609
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),0.20690000000000003,0.1298,Profitability,1.5939907550077044
Net Profit Margin (TTM),0.1606,0.10460000000000001,Profitability,1.5353728489483744
Annual Dividend Yield,,0.0168,Dividend,
Dividend Change %,,-0.0075,Dividend,
"Dividend Growth Rate, 3 Years",,0.0225,Dividend,
EPS Growth (MRQ),-0.7067,-0.0779,Gowth rates,9.07188703465982
EPS Growth (TTM),0.8525,-0.005200000000000001,Gowth rates,-163.94230769230768
Revenue Growth (MRQ),0.013000000000000001,0.0897,Gowth rates,0.14492753623188406
Revenue Growth (TTM),0.43670000000000003,0.042800000000000005,Gowth rates,10.203271028037383
Return On Equity (TTM),0.1342,0.3775,Effectiveness,0.3554966887417219
Return On Assets (TTM),0.0478,0.031200000000000002,Effectiveness,1.532051282051282
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),2063795.0,1261907.0,Effectiveness,1.6354572880568854
Total Debt/Total Capital (MRQ),0.0,0.4026,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.002,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),121.03,10.79,Financial strength,11.216867469879519
