,AMZN
% Above Low,0.08779999999999999
% Held by Institutions,0.5818
52-Wk Range,['85.87 - 181.68']
Annual Dividend $,
Annual Dividend %,
Ask,93.63
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.2
Bid,93.57
Bid Size,100.0
Closing Price,93.41
Day Change $,-0.72
Day Change %,-0.0076
Day High,94.43
Day Low,93.07
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.08
Ex-dividend Date,No dividend
Historical Volatility,0.494
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,953.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",86.2
Prev Close,94.13
Short Interest,0.0088
Today's Open,93.79
Volume,35088609.0
Volume 10-day Avg,89082291.0
Volume Past Day,(Light)
Price/Earnings (TTM),86.20181
Price/Sales (TTM),1.89756
Price/Book (MRQ),6.92852
Price/Cash Flow (TTM),19.0908
5yr Low,56.24
5yr High,188.65
5yr Avg Return,0.13791666666666666
EPS Growth 5yr,0.6760082
Revenue Growth 5yr,0.2814073
Dividend Growth 5yr,
Short Int Current Month,81177291.0
Short Int Prev Month,79540326.0
Short Int Pct of Float,0.0088247
Days to Cover,0.68191
Float,9197.493
Shares Outstanding,10201.65
Institutions Holding Shares,5228.0
FCF Growth 5yr,0.26291407675905143
"Price/Earnings (TTM, GAAP)",86.2
"PEG Ratio (TTM, GAAP)",3.32
Gross Profit Margin (TTM),0.4304
Operating Profit Margin (TTM),0.0258
Net Profit Margin (TTM),0.0226
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.3948
EPS Growth (TTM),-0.5761999999999999
Revenue Growth (MRQ),0.0484
Revenue Growth (TTM),0.0966
Return On Equity (TTM),0.08779999999999999
Return On Assets (TTM),0.027999999999999997
Return On Investment (TTM),0.0415
Revenue Per Employee (TTM),312308.0
Total Debt/Total Capital (MRQ),0.3728
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),0.68
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
cfra since,2015-07-25 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-04-29 00:00:00
