,AMZN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",86.2,2519.53,Valuation,0.034212730152052166
Price/Sales (TTM),1.9,7.6,Valuation,0.25
Price/Book (MRQ),6.93,10.0,Valuation,0.693
"PEG Ratio (TTM, GAAP)",3.32,40.12,Valuation,0.08275174476570289
Gross Profit Margin (TTM),0.4304,0.4335,Profitability,0.9928489042675894
Operating Profit Margin (TTM),0.0258,0.0117,Profitability,2.2051282051282053
Net Profit Margin (TTM),0.0226,-0.0141,Profitability,-1.602836879432624
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),2.3948,-0.26239999999999997,Gowth rates,-9.126524390243905
EPS Growth (TTM),-0.5761999999999999,-0.6279,Gowth rates,0.9176620480968306
Revenue Growth (MRQ),0.0484,0.1585,Gowth rates,0.3053627760252366
Revenue Growth (TTM),0.0966,0.12369999999999999,Gowth rates,0.7809215844785773
Return On Equity (TTM),0.08779999999999999,0.0635,Effectiveness,1.3826771653543306
Return On Assets (TTM),0.027999999999999997,-0.1317,Effectiveness,-0.21260440394836747
Return On Investment (TTM),0.0415,0.0197,Effectiveness,2.106598984771574
Revenue Per Employee (TTM),312308.0,354479.0,Effectiveness,0.8810338553200613
Total Debt/Total Capital (MRQ),0.3728,0.39840000000000003,Financial strength,0.9357429718875502
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.4575,Financial strength,0.0019672131147540984
Quick Ratio (MRQ),0.68,0.68,Financial strength,1.0
Interest Coverage (MRQ),,-0.6,Financial strength,
