,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,43.15,,,,,
low,13.0,,,,,
change,0.2633,,,,,
Date,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,137.0,165.0,128.0,293.0,Balance Sheet
Short Term Investments,,,150.0,167.0,230.0,Balance Sheet
Cash and Short Term Invs,,137.0,314.0,294.0,522.0,Balance Sheet
Prepaid Expenses,,5.0,7.0,9.0,7.0,Balance Sheet
Total Current Assets,,141.0,322.0,303.0,529.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,0.0,0.0,Balance Sheet
Total Assets,,141.0,322.0,303.0,529.0,Balance Sheet
Accounts Payable,,1.0,4.0,2.0,3.0,Balance Sheet
Accrued Expenses,,5.0,1.0,5.0,8.0,Balance Sheet
Notes Payable/ST Debt,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,11.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,17.0,6.0,7.0,10.0,Balance Sheet
Total Long Term Debt,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,0.0,0.0,0.0,0.0,Balance Sheet
Total Liabilities,,17.0,6.0,7.0,10.0,Balance Sheet
Redeemable Preferred Stock,,188.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,14.0,411.0,412.0,656.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,-78.0,-94.0,-115.0,-136.0,Balance Sheet
"Other Equity, Total",,,0.0,-1.0,-1.0,Balance Sheet
Total Equity,,125.0,316.0,296.0,519.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,141.0,322.0,303.0,529.0,Balance Sheet
Ttl Comm. Shares Outs.,,37.0,38.0,38.0,44.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,0.0,0.0,0.0,0.0,Income Statement
Selling/Gen/Admin Expense,,13849.0,3033.0,3208.0,3496.0,Income Statement
Labor & Related Expense,,,997.0,983.0,1024.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,13849.0,4030.0,4192.0,4519.0,Income Statement
Research & Development,,11383.0,9674.0,17161.0,17725.0,Income Statement
Total Operating Expense,,25232.0,13704.0,21353.0,22244.0,Income Statement
Total Operating Income,,-25232.0,-13704.0,-21353.0,-22244.0,Income Statement
"Inter Income, Non-Operating",,14.0,51.0,277.0,1267.0,Income Statement
"Invest Income, Non-Operat",,-4125.0,-3044.0,0.0,0.0,Income Statement
"Inter/Invest Inc, Non-Oper",,-4111.0,-2993.0,277.0,1267.0,Income Statement
Income Before Tax,,-29343.0,-16697.0,-21075.0,-20978.0,Income Statement
Income After Tax,,-29343.0,-16697.0,-21075.0,-20978.0,Income Statement
Net Inc Before Extra Items,,-29343.0,-16697.0,-21075.0,-20978.0,Income Statement
Total Net Income,,-29343.0,-16697.0,-21075.0,-20978.0,Income Statement
Income Available to Common Excl. Extra. Items,,-29343.0,-16697.0,-21075.0,-20978.0,Income Statement
Income Available to Common Incl. Extra. Items,,-29343.0,-16697.0,-21075.0,-20978.0,Income Statement
Basic/Primary Weighted Average Shares,,36519.0,33434.0,37710.0,40806.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,-0.8,-0.5,-0.56,-0.51,Income Statement
Basic/Primary EPS Incl. Extra. Items,,-0.8,-0.5,-0.56,-0.51,Income Statement
Diluted Weighted Average Shares,,36519.0,33434.0,37710.0,40806.0,Income Statement
Diluted EPS Excl. Extra. Items,,-0.8,-0.5,-0.56,-0.51,Income Statement
Diluted EPS Incl. Extra. Items,,-0.8,-0.5,-0.56,-0.51,Income Statement
Div/Share-ComStockPrimIssue,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,Income Statement
"Depreciat/Amort, Suppl",,0.0,,1.0,4.0,Income Statement
Normalzd Income Before Tax,,-29343.0,-16697.0,-21075.0,-20978.0,Income Statement
Normalized Income After Tax,,-29343.0,-16697.0,-21075.0,-20978.0,Income Statement
Normalzd Inc Avail to Common,,-29343.0,-16697.0,-21075.0,-20978.0,Income Statement
Basic Normalized EPS,,-0.8,-0.5,-0.56,-0.51,Income Statement
Diluted Normalized EPS,,-0.8,-0.5,-0.56,-0.51,Income Statement
