,SGMS
% Below High,0.0737
% Held by Institutions,0.9340999999999999
52-Wk Range,['40.10 - 70.66']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,
Bid Size,
Closing Price,65.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.59
Ex-dividend Date,No dividend
Historical Volatility,0.563
Last (size),45.0
Last (time),1:00p ET 11/25/22
Market Cap,6.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,65.45
Short Interest,0.0574
Today's Open,
Volume,232580.0
Volume 10-day Avg,649513.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.9608559498956158
Growth 2yr High Est,-0.9462863017219224
Growth 2yr Consensus Est,-0.9535711258087691
Growth 5yr Low Est,-0.9608559498956158
Growth 5yr High Est,-0.9462863017219224
Growth 5yr Consensus Est,-0.9535711258087691
Growth 5yr Actual/Est,2.491305587426944
Growth 3yr Historic,0.41843853820598
Price/Earnings (TTM),
Price/Sales (TTM),2.5429
Price/Book (MRQ),5.74444
Price/Cash Flow (TTM),21.06851
5yr Low,3.76
5yr High,90.2
5yr Avg Return,0.16641666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.0567478
Dividend Growth 5yr,
Short Int Current Month,5304246.0
Short Int Prev Month,5034953.0
Short Int Pct of Float,0.0573548
Days to Cover,7.2144
Float,92.51331
Shares Outstanding,93.67359
Institutions Holding Shares,269.0
FCF Growth 5yr,2.25590414731935
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-03-08 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
marketEdge opinion since,
