,KHC
% Below High,0.1331
% Held by Institutions,0.768
52-Wk Range,['32.73 - 44.87']
Annual Dividend $,1.6
Annual Dividend %,0.041100000000000005
Ask,39.03
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,38.46
Bid Size,100.0
Closing Price,38.9
Day Change $,0.0
Day Change %,0.0
Day High,39.18
Day Low,38.87
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",0.79
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.267
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,47.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",49.16
Prev Close,38.9
Short Interest,0.0187
Today's Open,39.08
Volume,3595280.0
Volume 10-day Avg,6513643.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.01845018450184499
Growth 1yr High Est,-0.038461538461538436
Growth 1yr Consensus Est,-0.028455861481691713
Growth 2yr Low Est,-0.005465693754681866
Growth 2yr High Est,0.0062237762237762895
Growth 2yr Consensus Est,0.0003790412345472116
Growth 5yr Low Est,-0.002732846877340933
Growth 5yr High Est,0.0048724514921698325
Growth 5yr Consensus Est,0.0010698023074144497
Growth 5yr Actual/Est,-0.00718692820741304
Growth 3yr Historic,0.006971856725146219
Price/Earnings (TTM),49.1621
Price/Sales (TTM),1.84596
Price/Book (MRQ),0.99132
Price/Cash Flow (TTM),24.9606
5yr Low,19.99
5yr High,82.48
5yr Avg Return,-0.08615
EPS Growth 5yr,-0.25753699999999996
Revenue Growth 5yr,-0.0019697
Dividend Growth 5yr,-0.0740012
Short Int Current Month,14637858.0
Short Int Prev Month,17123515.0
Short Int Pct of Float,0.0187352
Days to Cover,2.32618
Float,781.4483
Shares Outstanding,1224.93
Institutions Holding Shares,1444.0
FCF Growth 5yr,0.28862549829569784
"Price/Earnings (TTM, GAAP)",49.16
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.31120000000000003
Operating Profit Margin (TTM),0.09380000000000001
Net Profit Margin (TTM),0.0384
Annual Dividend Yield,0.041100000000000005
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.13820000000000002
EPS Growth (MRQ),0.6302000000000001
EPS Growth (TTM),-0.5583
Revenue Growth (MRQ),-0.0075
Revenue Growth (TTM),-0.0175
Return On Equity (TTM),0.02
Return On Assets (TTM),0.010700000000000001
Return On Investment (TTM),0.0118
Revenue Per Employee (TTM),717028.0
Total Debt/Total Capital (MRQ),0.2934
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),0.5
Interest Coverage (MRQ),4.45
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-11-03 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-27 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
