,MIRM
% Above Low,0.5499
% Held by Institutions,0.9303
52-Wk Range,['12.82 - 30.55']
Annual Dividend $,
Annual Dividend %,
Ask,27.86
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.4
Bid,18.0
Bid Size,500.0
Closing Price,19.87
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.14
Ex-dividend Date,No dividend
Historical Volatility,0.679
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,732.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,19.87
Short Interest,0.0481
Today's Open,
Volume,76556.0
Volume 10-day Avg,302348.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.18984547461368662
Growth 2yr High Est,-0.4645669291338582
Growth 2yr Consensus Est,-0.3272062018737724
Growth 5yr Low Est,-0.18984547461368662
Growth 5yr High Est,-0.4645669291338582
Growth 5yr Consensus Est,-0.3272062018737724
Growth 5yr Actual/Est,-0.06258437409382364
Growth 3yr Historic,-0.10743132146784681
Price/Earnings (TTM),
Price/Sales (TTM),14.00953
Price/Book (MRQ),4.31813
Price/Cash Flow (TTM),
5yr Low,6.51
5yr High,30.55
5yr Avg Return,0.1891
Short Int Current Month,1693879.0
Short Int Prev Month,1837805.0
Short Int Pct of Float,0.0480617
Days to Cover,4.20479
Float,35.56028
Shares Outstanding,36.87038
Institutions Holding Shares,166.0
FCF Growth 5yr,0.06846264843763002
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8129000000000001
Operating Profit Margin (TTM),-0.6623
Net Profit Margin (TTM),-0.7972
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2213
EPS Growth (TTM),0.8125
Revenue Growth (MRQ),0.0741
Revenue Growth (TTM),2.2684
Return On Equity (TTM),-0.3694
Return On Assets (TTM),-0.1391
Return On Investment (TTM),-0.1675
Revenue Per Employee (TTM),381708.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.06
Interest Coverage (MRQ),-12.56
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2022-08-10 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
