,MIRM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),14.01,45.03,Valuation,0.3111259160559627
Price/Book (MRQ),4.32,12.61,Valuation,0.3425852498017447
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8129000000000001,0.5874,Profitability,1.3838951310861423
Operating Profit Margin (TTM),-0.6623,-4.7459,Profitability,0.13955203438757666
Net Profit Margin (TTM),-0.7972,-4.5467,Profitability,0.17533595794752238
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.2213,-0.0014000000000000002,Gowth rates,158.07142857142856
EPS Growth (TTM),0.8125,0.027200000000000002,Gowth rates,29.87132352941176
Revenue Growth (MRQ),0.0741,1.3963999999999999,Gowth rates,0.05306502434832427
Revenue Growth (TTM),2.2684,0.9747,Gowth rates,2.327280188776034
Return On Equity (TTM),-0.3694,0.1967,Effectiveness,-1.8779867819013725
Return On Assets (TTM),-0.1391,0.0016,Effectiveness,-86.9375
Return On Investment (TTM),-0.1675,0.0219,Effectiveness,-7.648401826484019
Revenue Per Employee (TTM),381708.0,1476201.0,Effectiveness,0.258574543710511
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),4.06,2.06,Financial strength,1.9708737864077668
Interest Coverage (MRQ),-12.56,2.69,Financial strength,-4.669144981412639
