,KFY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.21,75.74,Valuation,0.12160021124900978
Price/Sales (TTM),1.09,5.07,Valuation,0.21499013806706116
Price/Book (MRQ),1.92,7.18,Valuation,0.26740947075208915
"PEG Ratio (TTM, GAAP)",,3.68,Valuation,
Gross Profit Margin (TTM),0.9450000000000001,0.49210000000000004,Profitability,1.9203413940256044
Operating Profit Margin (TTM),0.17420000000000002,0.10619999999999999,Profitability,1.6403013182674204
Net Profit Margin (TTM),0.1207,0.055,Profitability,2.1945454545454544
Annual Dividend Yield,0.010700000000000001,0.0074,Dividend,1.445945945945946
Dividend Change %,0.2,0.051100000000000007,Dividend,3.9138943248532287
"Dividend Growth Rate, 3 Years",0.06269999999999999,0.0489,Dividend,1.2822085889570551
EPS Growth (MRQ),-0.1243,-18.5673,Gowth rates,0.006694565176412295
EPS Growth (TTM),0.5105,-0.2057,Gowth rates,-2.4817695673310647
Revenue Growth (MRQ),-0.032799999999999996,0.10880000000000001,Gowth rates,-0.30147058823529405
Revenue Growth (TTM),0.3383,0.11970000000000001,Gowth rates,2.8262322472848784
Return On Equity (TTM),0.21559999999999999,0.1999,Effectiveness,1.0785392696348173
Return On Assets (TTM),0.10830000000000001,0.0565,Effectiveness,1.9168141592920356
Return On Investment (TTM),0.1368,0.0848,Effectiveness,1.6132075471698113
Revenue Per Employee (TTM),255915.0,417216.0,Effectiveness,0.6133873101702715
Total Debt/Total Capital (MRQ),0.203,0.4147,Financial strength,0.48951048951048953
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0070999999999999995,Financial strength,-0.09859154929577467
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),14.32,18.36,Financial strength,0.7799564270152506
