,OC
% Below High,0.1005
% Held by Institutions,1.0388
52-Wk Range,['72.97 - 101.12']
Annual Dividend $,1.4
Annual Dividend %,0.0154
Ask,93.5
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.4
Bid,82.0
Bid Size,400.0
Change Since Close,-0.21| |(-0.23%)
Closing Price,90.96
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-03 00:00:00
"EPS (TTM, GAAP)",13.59
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.419
Last (size),25.0
Last (time),5:00p ET 11/25/22
Last Trade,90.75
Market Cap,8.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.69
Prev Close,90.96
Short Interest,0.0479
Today's Open,
Volume,33.0
Volume 10-day Avg,872219.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,1.7790178571428568
Growth 1yr High Est,1.6528925619834713
Growth 1yr Consensus Est,1.715955209563164
Growth 2yr Low Est,0.7200310169248421
Growth 2yr High Est,0.8346238510851937
Growth 2yr Consensus Est,0.7773274340050178
Growth 5yr Low Est,0.36001550846242103
Growth 5yr High Est,0.41731192554259683
Growth 5yr Consensus Est,0.3886637170025089
Growth 5yr Actual/Est,0.28554756008883264
Growth 3yr Historic,0.232671624375354
Price/Earnings (TTM),6.69103
Price/Sales (TTM),0.88485
Price/Book (MRQ),1.85645
Price/Cash Flow (TTM),4.52651
5yr Low,28.56
5yr High,109.9
5yr Avg Return,0.058949999999999995
EPS Growth 5yr,0.22876919999999998
Revenue Growth 5yr,0.08402570000000001
Dividend Growth 5yr,0.0793319
Short Int Current Month,4436918.0
Short Int Prev Month,5034065.0
Short Int Pct of Float,0.0478636
Days to Cover,4.04705
Float,92.76374
Shares Outstanding,93.4563
Institutions Holding Shares,765.0
FCF Growth 5yr,2.338708731617738
"Price/Earnings (TTM, GAAP)",6.69
"PEG Ratio (TTM, GAAP)",0.9
Gross Profit Margin (TTM),0.2742
Operating Profit Margin (TTM),0.19340000000000002
Net Profit Margin (TTM),0.1401
Annual Dividend Yield,0.0154
Dividend Change %,0.0833
"Dividend Growth Rate, 3 Years",0.0738
EPS Growth (MRQ),0.3886
EPS Growth (TTM),0.4385
Revenue Growth (MRQ),-0.027700000000000002
Revenue Growth (TTM),0.1586
Return On Equity (TTM),0.3037
Return On Assets (TTM),0.13
Return On Investment (TTM),0.1591
Revenue Per Employee (TTM),480350.0
Total Debt/Total Capital (MRQ),0.38939999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),1.11
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-21 00:00:00
theStreet since,2021-05-12 00:00:00
cfra since,2022-11-21 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
