,ESPR
% Below High,0.2486
% Held by Institutions,0.8576
52-Wk Range,['3.28 - 9.13']
Annual Dividend $,
Annual Dividend %,
Ask,7.75
Ask Size,500.0
B/A Ratio,1.2
B/A Size,600x500
Beta,0.2
Bid,6.84
Bid Size,600.0
Closing Price,6.86
Day Change $,0.11
Day Change %,0.0163
Day High,6.88
Day Low,6.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.56
Ex-dividend Date,No dividend
Historical Volatility,0.917
Last (size),320.0
Last (time),12:59p ET 11/25/22
Market Cap,504.4M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,6.75
Short Interest,0.18719999999999998
Today's Open,6.73
Volume,523501.0
Volume 10-day Avg,1074271.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.3611584327086883
Growth 1yr High Est,0.10031347962382431
Growth 1yr Consensus Est,-0.130422476542432
Growth 2yr Low Est,-0.20324588302101082
Growth 2yr High Est,-0.17776348810831577
Growth 2yr Consensus Est,-0.1905046855646633
Growth 5yr Low Est,-0.13549725534734056
Growth 5yr High Est,-0.11850899207221051
Growth 5yr Consensus Est,-0.12700312370977554
Growth 5yr Actual/Est,0.07495040008908024
Growth 3yr Historic,0.3092348088220413
Price/Earnings (TTM),
Price/Sales (TTM),7.01476
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.28
5yr High,82.68
5yr Avg Return,-0.14713333333333334
Short Int Current Month,13695442.0
Short Int Prev Month,14034855.0
Short Int Pct of Float,0.1872315
Days to Cover,10.24838
Float,73.14709
Shares Outstanding,73.68357
Institutions Holding Shares,182.0
FCF Growth 5yr,0.0
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6131000000000001
Operating Profit Margin (TTM),-2.6731000000000003
Net Profit Margin (TTM),-3.3763
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.22510000000000002
EPS Growth (TTM),0.6097
Revenue Growth (MRQ),0.0074
Revenue Growth (TTM),-0.0086
Return On Equity (TTM),
Return On Assets (TTM),-0.9043000000000001
Return On Investment (TTM),-1.2897999999999998
Revenue Per Employee (TTM),330541.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0031
Quick Ratio (MRQ),2.82
Interest Coverage (MRQ),-3.12
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet since,2020-06-05 00:00:00
researchTeam since,2020-06-05 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
