,SKY
% Above Low,0.15660000000000002
% Held by Institutions,1.01
52-Wk Range,['43.04 - 85.92']
Annual Dividend $,
Annual Dividend %,
Ask,49.86
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.9
Bid,49.74
Bid Size,200.0
Day Change $,-0.88
Day Change %,-0.0174
Day High,50.63
Day Low,49.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.25
Ex-dividend Date,No dividend
Historical Volatility,0.616
Last (size),3.0
Last (time),2:28p ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",6.99
Prev Close,50.66
Price,49.78
Short Interest,0.034
Today's Open,50.12
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4943820224719102
Growth 2yr High Est,-0.2996941896024464
Growth 2yr Consensus Est,-0.3970381060371783
Growth 5yr Low Est,-0.4943820224719102
Growth 5yr High Est,-0.2996941896024464
Growth 5yr Consensus Est,-0.3970381060371783
Growth 5yr Actual/Est,0.5596886579540232
Growth 3yr Historic,0.5401250355214551
Price/Earnings (TTM),6.99046
Price/Sales (TTM),1.0659
Price/Book (MRQ),2.65608
Price/Cash Flow (TTM),6.56963
5yr Low,10.82
5yr High,85.92
5yr Avg Return,0.4234833333333334
Short Int Current Month,1899229.0
Short Int Prev Month,2442913.0
Short Int Pct of Float,0.0339614
Days to Cover,2.57453
Float,55.93342
Shares Outstanding,56.92453
Institutions Holding Shares,358.0
FCF Growth 5yr,1.738507703436439
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",6.99
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3148
Operating Profit Margin (TTM),0.2052
Net Profit Margin (TTM),0.1536
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.22760000000000002
EPS Growth (TTM),1.777
Revenue Growth (MRQ),0.1115
Revenue Growth (TTM),0.4548
Return On Equity (TTM),0.4754
Return On Assets (TTM),0.33020000000000005
Return On Investment (TTM),0.4455
Revenue Per Employee (TTM),322085.0
Total Debt/Total Capital (MRQ),0.044800000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),2.17
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
theStreet since,2021-06-02 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
