,CZR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,114.03,Valuation,
Price/Sales (TTM),1.01,5.62,Valuation,0.1797153024911032
Price/Book (MRQ),2.78,8.49,Valuation,0.32744405182567726
"PEG Ratio (TTM, GAAP)",,0.53,Valuation,
Gross Profit Margin (TTM),0.4465,0.4054,Profitability,1.1013813517513567
Operating Profit Margin (TTM),0.11750000000000001,0.163,Profitability,0.7208588957055215
Net Profit Margin (TTM),-0.0758,0.0779,Profitability,-0.9730423620025676
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),0.5223,0.3309,Gowth rates,1.5784224841341794
EPS Growth (TTM),0.2651,2.1359,Gowth rates,0.1241162975794747
Revenue Growth (MRQ),0.0234,0.38439999999999996,Gowth rates,0.06087408949011447
Revenue Growth (TTM),0.22719999999999999,0.7695000000000001,Gowth rates,0.2952566601689408
Return On Equity (TTM),-0.18489999999999998,0.19090000000000001,Effectiveness,-0.968569931901519
Return On Assets (TTM),-0.0221,0.0758,Effectiveness,-0.29155672823219
Return On Investment (TTM),-0.024700000000000003,0.1005,Effectiveness,-0.245771144278607
Revenue Per Employee (TTM),216143.0,285753.0,Effectiveness,0.7563980080699065
Total Debt/Total Capital (MRQ),0.8676,1.1596,Financial strength,0.7481890307002416
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.002,Financial strength,0.3
Quick Ratio (MRQ),0.78,0.81,Financial strength,0.9629629629629629
Interest Coverage (MRQ),1.17,40.22,Financial strength,0.02909000497265042
