,CZR
% Above Low,0.5867
% Held by Institutions,0.9269
52-Wk Range,['31.31 - 97.39']
Annual Dividend $,
Annual Dividend %,
Ask,49.68
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,2.8
Bid,49.49
Bid Size,100.0
Closing Price,49.68
Day Change $,0.53
Day Change %,0.0108
Day High,49.71
Day Low,48.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.8
Ex-dividend Date,No dividend
Historical Volatility,0.7090000000000001
Last (size),9.0
Last (time),12:59p ET 11/25/22
Market Cap,10.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,49.15
Short Interest,0.0554
Today's Open,48.7
Volume,2124717.0
Volume 10-day Avg,4225898.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.7002652519893899
Growth 2yr High Est,-1.685064935064935
Growth 2yr Consensus Est,-1.1926650935271623
Growth 5yr Low Est,-0.7002652519893899
Growth 5yr High Est,-1.685064935064935
Growth 5yr Consensus Est,-1.1926650935271623
Growth 5yr Actual/Est,-4.077364002207004
Growth 3yr Historic,-3.687254584681769
Price/Earnings (TTM),
Price/Sales (TTM),1.00648
Price/Book (MRQ),2.78011
Price/Cash Flow (TTM),27.26252
5yr Low,6.02
5yr High,119.81
5yr Avg Return,0.14913333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.6070234
Dividend Growth 5yr,
Short Int Current Month,11842302.0
Short Int Prev Month,11789354.0
Short Int Pct of Float,0.0554276
Days to Cover,2.31008
Float,213.6599
Shares Outstanding,214.5661
Institutions Holding Shares,649.0
FCF Growth 5yr,-0.9340211619039996
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4465
Operating Profit Margin (TTM),0.11750000000000001
Net Profit Margin (TTM),-0.0758
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5223
EPS Growth (TTM),0.2651
Revenue Growth (MRQ),0.0234
Revenue Growth (TTM),0.22719999999999999
Return On Equity (TTM),-0.18489999999999998
Return On Assets (TTM),-0.0221
Return On Investment (TTM),-0.024700000000000003
Revenue Per Employee (TTM),216143.0
Total Debt/Total Capital (MRQ),0.8676
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),0.78
Interest Coverage (MRQ),1.17
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-12-16 00:00:00
cfra since,2022-11-02 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-12-16 00:00:00
