,SKIN
% Above Low,0.1833
% Held by Institutions,1.0176
52-Wk Range,['8.27 - 28.32']
Annual Dividend $,
Annual Dividend %,
Ask,9.79
Ask Size,200.0
B/A Ratio,9.0
B/A Size,1800x200
Beta,
Bid,9.77
Bid Size,1800.0
Day Change $,-0.15
Day Change %,-0.0151
Day High,10.0
Day Low,9.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.18
Ex-dividend Date,No dividend
Historical Volatility,0.877
Last (size),100.0
Last (time),2:26p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",55.08
Prev Close,9.93
Price,9.78
Short Interest,0.2501
Today's Open,9.76
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,6.000000000000001
Growth 2yr High Est,3.375
Growth 2yr Consensus Est,4.6875
Growth 5yr Low Est,6.000000000000001
Growth 5yr High Est,3.375
Growth 5yr Consensus Est,4.6875
Growth 5yr Actual/Est,1.3931880108991823
Growth 3yr Historic,0.0
Price/Earnings (TTM),55.08099
Price/Sales (TTM),4.11416
Price/Book (MRQ),5.51352
Price/Cash Flow (TTM),27.90945
5yr Low,8.27
5yr High,30.17
5yr Avg Return,0.1668
Short Int Current Month,32771176.0
Short Int Prev Month,25923510.0
Short Int Pct of Float,0.2501247
Days to Cover,9.61355
Float,131.079
Shares Outstanding,143.201
Institutions Holding Shares,218.0
FCF Growth 5yr,0.43878682293316434
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",55.08
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7000000000000001
Operating Profit Margin (TTM),-0.0802
Net Profit Margin (TTM),0.06730000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9834
EPS Growth (TTM),1.0511
Revenue Growth (MRQ),-0.1424
Revenue Growth (TTM),0.1472
Return On Equity (TTM),0.40149999999999997
Return On Assets (TTM),0.0221
Return On Investment (TTM),0.0235
Revenue Per Employee (TTM),490955.0
Total Debt/Total Capital (MRQ),0.7398
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),10.34
Interest Coverage (MRQ),-0.46
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-10 00:00:00
theStreet since,2022-08-10 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
