,BKD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),0.21,1.32,Valuation,0.1590909090909091
Price/Book (MRQ),1.2,4.31,Valuation,0.27842227378190254
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.2101,0.1318,Profitability,1.5940819423368742
Operating Profit Margin (TTM),-0.0449,0.0458,Profitability,-0.980349344978166
Net Profit Margin (TTM),-0.1063,0.0242,Profitability,-4.392561983471075
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.6641,-0.1478,Gowth rates,-4.493234100135319
EPS Growth (TTM),-3.0764,-1.101,Gowth rates,2.7941871026339693
Revenue Growth (MRQ),0.0985,0.0931,Gowth rates,1.0580021482277122
Revenue Growth (TTM),-0.0667,0.1191,Gowth rates,-0.560033585222502
Return On Equity (TTM),-0.45909999999999995,7.2022,Effectiveness,-0.06374441142984087
Return On Assets (TTM),-0.046200000000000005,0.0403,Effectiveness,-1.1464019851116627
Return On Investment (TTM),-0.052300000000000006,0.016,Effectiveness,-3.2687500000000003
Revenue Per Employee (TTM),83899.0,1375304.0,Effectiveness,0.06100396712290519
Total Debt/Total Capital (MRQ),0.8986000000000001,0.4855,Financial strength,1.8508753861997942
Change in Debt/Total Capital Quarter over Quarter,0.0008,0.0015,Financial strength,0.5333333333333333
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),0.51,9.55,Financial strength,0.05340314136125654
