,CARR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.68,13.91,Valuation,0.7677929547088426
Price/Sales (TTM),1.81,1.88,Valuation,0.9627659574468086
Price/Book (MRQ),5.17,3.87,Valuation,1.3359173126614987
"PEG Ratio (TTM, GAAP)",1.12,0.02,Valuation,56.00000000000001
Gross Profit Margin (TTM),0.27390000000000003,0.31260000000000004,Profitability,0.8761996161228407
Operating Profit Margin (TTM),0.2223,0.1429,Profitability,1.555633310006998
Net Profit Margin (TTM),0.1779,0.1072,Profitability,1.6595149253731343
Annual Dividend Yield,0.013600000000000001,0.0134,Dividend,1.0149253731343284
Dividend Change %,0.8214,0.2683,Dividend,3.0614983227730157
"Dividend Growth Rate, 3 Years",,0.0895,Dividend,
EPS Growth (MRQ),1.3063,0.5653,Gowth rates,2.310808420307801
EPS Growth (TTM),0.6587999999999999,7.5147,Gowth rates,0.08766817038604334
Revenue Growth (MRQ),0.0461,0.1259,Gowth rates,0.36616362192216045
Revenue Growth (TTM),0.0187,0.20510000000000003,Gowth rates,0.09117503656752803
Return On Equity (TTM),0.5107,0.254,Effectiveness,2.010629921259843
Return On Assets (TTM),0.1423,0.0326,Effectiveness,4.3650306748466265
Return On Investment (TTM),0.1894,0.1543,Effectiveness,1.2274789371354506
Revenue Per Employee (TTM),352569.0,403228.0,Effectiveness,0.8743663634469828
Total Debt/Total Capital (MRQ),0.5436,0.4794,Financial strength,1.1339173967459324
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0029,Financial strength,-0.24137931034482762
Quick Ratio (MRQ),1.18,1.11,Financial strength,1.0630630630630629
Interest Coverage (MRQ),,10.87,Financial strength,
