,CARR
% Above Low,0.3356
% Held by Institutions,0.8641
52-Wk Range,['33.10 - 57.69']
Annual Dividend $,0.6
Annual Dividend %,0.013600000000000001
Ask,47.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,35.0
Bid Size,100.0
Closing Price,44.21
Day Change $,0.05
Day Change %,0.0011
Day High,44.41
Day Low,44.1
Dividend Pay Date,2022-11-21 00:00:00
"EPS (TTM, GAAP)",4.14
Ex-dividend,2022-10-27 00:00:00
Ex-dividend Date,10/27/22
Historical Volatility,0.337
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,37.0B
"P/E Ratio (TTM, GAAP)",10.68
Prev Close,44.16
Short Interest,0.008100000000000001
Today's Open,44.2
Volume,986255.0
Volume 10-day Avg,3360496.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.05022831050228316
Growth 1yr High Est,0.06278026905829592
Growth 1yr Consensus Est,0.05650428978028954
Growth 2yr Low Est,0.029461981338098076
Growth 2yr High Est,0.09257156912830411
Growth 2yr Consensus Est,0.06101677523320109
Growth 5yr Low Est,0.12606702370331035
Growth 5yr High Est,0.13236655333191286
Growth 5yr Consensus Est,0.12921678851761162
Growth 5yr Actual/Est,0.1593468648058689
Growth 3yr Historic,0.12048192771084332
Price/Earnings (TTM),10.68316
Price/Sales (TTM),1.80797
Price/Book (MRQ),5.16881
Price/Cash Flow (TTM),9.28456
5yr Low,11.5
5yr High,58.89
5yr Avg Return,0.7964666666666668
Short Int Current Month,6762028.0
Short Int Prev Month,7735143.0
Short Int Pct of Float,0.0080935
Days to Cover,1.61512
Float,835.4933
Shares Outstanding,836.2615
Institutions Holding Shares,1492.0
FCF Growth 5yr,-1.132781423778612
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",10.68
"PEG Ratio (TTM, GAAP)",1.12
Gross Profit Margin (TTM),0.27390000000000003
Operating Profit Margin (TTM),0.2223
Net Profit Margin (TTM),0.1779
Annual Dividend Yield,0.013600000000000001
Dividend Change %,0.8214
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.3063
EPS Growth (TTM),0.6587999999999999
Revenue Growth (MRQ),0.0461
Revenue Growth (TTM),0.0187
Return On Equity (TTM),0.5107
Return On Assets (TTM),0.1423
Return On Investment (TTM),0.1894
Revenue Per Employee (TTM),352569.0
Total Debt/Total Capital (MRQ),0.5436
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),1.18
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-05-02 00:00:00
cfra since,2020-07-07 00:00:00
ford since,2022-06-03 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-05-02 00:00:00
marketEdge opinion since,
